hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Wed, 1 Jun",1 Jun,1464739200000,00:00,"Wednesday, 1 6 2016, 00:00 — 06:00",3,Mostly cloudy.,27,27,1003,0,0,73
,,,1464760800000,06:00,"Wednesday, 1 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,37,31,1004,7,290,50
,,,1464782400000,12:00,"Wednesday, 1 6 2016, 12:00 — 18:00",1,Thundershowers. Passing clouds.,39,39,1000,15,270,40
,,,1464804000000,18:00,"Wednesday, 1 6 2016, 18:00 — 00:00",14,Passing clouds.,36,34,1000,7,290,52
true,"Thu, 2 Jun",2 Jun,1464825600000,00:00,"Thursday, 2 6 2016, 00:00 — 06:00",3,Sprinkles. Mostly cloudy.,31,31,1001,4,250,58
,,,1464847200000,06:00,"Thursday, 2 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,40,34,1003,14,290,46
,,,1464868800000,12:00,"Thursday, 2 6 2016, 12:00 — 18:00",1,Thundershowers. Passing clouds.,42,41,999,16,270,24
,,,1464890400000,18:00,"Thursday, 2 6 2016, 18:00 — 00:00",13,Clear.,36,33,1000,0,0,48
true,"Fri, 3 Jun",3 Jun,1464912000000,00:00,"Friday, 3 6 2016, 00:00 — 06:00",13,Clear.,32,30,1001,0,0,62
,,,1464933600000,06:00,"Friday, 3 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,40,34,1003,0,0,43
,,,1464955200000,12:00,"Friday, 3 6 2016, 12:00 — 18:00",1,Thundershowers. Passing clouds.,42,41,1000,6,20,33
,,,1464976800000,18:00,"Friday, 3 6 2016, 18:00 — 00:00",13,Clear.,36,34,1001,0,0,63
true,"Sat, 4 Jun",4 Jun,1464998400000,00:00,"Saturday, 4 6 2016, 00:00 — 06:00",13,Clear.,32,31,1001,0,0,68
,,,1465020000000,06:00,"Saturday, 4 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,41,35,1003,2,160,43
,,,1465041600000,12:00,"Saturday, 4 6 2016, 12:00 — 18:00",6,Rain. Fog.,42,41,1000,7,20,36
,,,1465063200000,18:00,"Saturday, 4 6 2016, 18:00 — 00:00",13,Light rain. Overcast.,37,35,1001,0,0,60
true,"Sun, 5 Jun",5 Jun,1465084800000,00:00,"Sunday, 5 6 2016, 00:00 — 06:00",13,Clear.,33,32,1001,0,0,76
,,,1465106400000,06:00,"Sunday, 5 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,38,33,1003,8,90,60
,,,1465128000000,12:00,"Sunday, 5 6 2016, 12:00 — 18:00",1,Thundershowers. Passing clouds.,42,41,1000,8,70,40
,,,1465149600000,18:00,"Sunday, 5 6 2016, 18:00 — 00:00",14,More clouds than sun.,37,34,1002,18,70,57
true,"Mon, 6 Jun",6 Jun,1465171200000,00:00,"Monday, 6 6 2016, 00:00 — 06:00",2,Light snow. Overcast.,32,32,1002,11,110,66
,,,1465192800000,06:00,"Monday, 6 6 2016, 06:00 — 12:00",1,Thundershowers. Passing clouds.,38,34,997,7,90,54
