hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Thu, 1 Sep",1 Sep,1472688000000,00:00,"Thursday, 1 9 2016, 00:00 — 06:00",14,Overcast.,26,26,1002,4,50,92
,,,1472709600000,06:00,"Thursday, 1 9 2016, 06:00 — 12:00",9,Overcast.,27,26,1003,7,50,93
,,,1472731200000,12:00,"Thursday, 1 9 2016, 12:00 — 18:00",9,Overcast.,31,30,1000,0,0,78
,,,1472752800000,18:00,"Thursday, 1 9 2016, 18:00 — 00:00",14,Overcast.,29,28,1001,2,140,90
true,"Fri, 2 Sep",2 Sep,1472774400000,00:00,"Friday, 2 9 2016, 00:00 — 06:00",14,Overcast.,27,26,1000,7,230,94
,,,1472796000000,06:00,"Friday, 2 9 2016, 06:00 — 12:00",9,Overcast.,32,28,1002,15,290,77
,,,1472817600000,12:00,"Friday, 2 9 2016, 12:00 — 18:00",6,Partly cloudy.,33,33,998,16,290,62
,,,1472839200000,18:00,"Friday, 2 9 2016, 18:00 — 00:00",13,Overcast.,30,28,1000,7,290,78
true,"Sat, 3 Sep",3 Sep,1472860800000,00:00,"Saturday, 3 9 2016, 00:00 — 06:00",9,Overcast.,26,26,999,7,270,84
,,,1472882400000,06:00,"Saturday, 3 9 2016, 06:00 — 12:00",3,Fog.,32,28,1002,18,270,71
,,,1472904000000,12:00,"Saturday, 3 9 2016, 12:00 — 18:00",2,Sunny.,34,34,998,18,270,54
,,,1472925600000,18:00,"Saturday, 3 9 2016, 18:00 — 00:00",14,Overcast.,30,29,1000,0,0,78
true,"Sun, 4 Sep",4 Sep,1472947200000,00:00,"Sunday, 4 9 2016, 00:00 — 06:00",14,Overcast.,28,27,1002,13,250,82
,,,1472968800000,06:00,"Sunday, 4 9 2016, 06:00 — 12:00",3,Fog.,32,28,1004,17,270,66
,,,1472990400000,12:00,"Sunday, 4 9 2016, 12:00 — 18:00",2,Extremely hot.,34,34,1002,11,270,56
,,,1473012000000,18:00,"Sunday, 4 9 2016, 18:00 — 00:00",14,Clear.,31,30,1003,7,270,68
true,"Mon, 5 Sep",5 Sep,1473033600000,00:00,"Monday, 5 9 2016, 00:00 — 06:00",14,Clear.,28,26,1004,9,270,80
,,,1473055200000,06:00,"Monday, 5 9 2016, 06:00 — 12:00",9,Overcast.,32,27,1004,19,270,69
,,,1473076800000,12:00,"Monday, 5 9 2016, 12:00 — 18:00",2,Extremely hot.,34,34,1002,11,290,57
,,,1473098400000,18:00,"Monday, 5 9 2016, 18:00 — 00:00",14,Clear.,31,30,1003,9,250,65
true,"Tue, 6 Sep",6 Sep,1473120000000,00:00,"Tuesday, 6 9 2016, 00:00 — 06:00",14,Fog.,28,27,1003,16,270,74
,,,1473141600000,06:00,"Tuesday, 6 9 2016, 06:00 — 12:00",6,Scattered clouds.,32,28,1005,19,270,65
,,,1473163200000,12:00,"Tuesday, 6 9 2016, 12:00 — 18:00",2,Extremely hot.,34,34,1003,12,270,53
,,,1473184800000,18:00,"Tuesday, 6 9 2016, 18:00 — 00:00",13,Overcast.,31,29,1003,10,270,64
true,"Wed, 7 Sep",7 Sep,1473206400000,00:00,"Wednesday, 7 9 2016, 00:00 — 06:00",9,Overcast.,26,26,1004,11,270,76
,,,1473228000000,06:00,"Wednesday, 7 9 2016, 06:00 — 12:00",1,Chilly.,32,27,1005,16,270,65
,,,1473249600000,12:00,"Wednesday, 7 9 2016, 12:00 — 18:00",2,Sunny.,34,34,1002,8,320,56
,,,1473271200000,18:00,"Wednesday, 7 9 2016, 18:00 — 00:00",14,Fog.,30,30,1004,4,270,70
true,"Thu, 8 Sep",8 Sep,1473292800000,00:00,"Thursday, 8 9 2016, 00:00 — 06:00",14,Fog.,28,27,1004,9,270,68
,,,1473314400000,06:00,"Thursday, 8 9 2016, 06:00 — 12:00",3,Fog.,32,29,1006,15,320,68
,,,1473336000000,12:00,"Thursday, 8 9 2016, 12:00 — 18:00",2,Sunny.,35,34,1004,12,290,54
,,,1473357600000,18:00,"Thursday, 8 9 2016, 18:00 — 00:00",14,Overcast.,31,30,1005,0,0,72
true,"Fri, 9 Sep",9 Sep,1473379200000,00:00,"Friday, 9 9 2016, 00:00 — 06:00",14,Overcast.,29,28,1000,14,270,74
,,,1473400800000,06:00,"Friday, 9 9 2016, 06:00 — 12:00",3,Fog.,28,28,1007,17,270,67
,,,1473422400000,12:00,"Friday, 9 9 2016, 12:00 — 18:00",2,Sunny.,35,34,1004,11,290,50
,,,1473444000000,18:00,"Friday, 9 9 2016, 18:00 — 00:00",13,Overcast.,31,30,1005,4,290,68
true,"Sat, 10 Sep",10 Sep,1473465600000,00:00,"Saturday, 10 9 2016, 00:00 — 06:00",14,Overcast.,29,27,1005,8,270,85
,,,1473487200000,06:00,"Saturday, 10 9 2016, 06:00 — 12:00",3,Fog.,33,29,1006,19,270,58
,,,1473508800000,12:00,"Saturday, 10 9 2016, 12:00 — 18:00",2,Sunny.,35,34,1003,10,270,51
,,,1473530400000,18:00,"Saturday, 10 9 2016, 18:00 — 00:00",13,Overcast.,31,29,1004,4,270,70
true,"Sun, 11 Sep",11 Sep,1473552000000,00:00,"Sunday, 11 9 2016, 00:00 — 06:00",13,Overcast.,26,26,1005,9,270,74
,,,1473573600000,06:00,"Sunday, 11 9 2016, 06:00 — 12:00",1,Passing clouds.,33,28,1005,15,250,59
,,,1473595200000,12:00,"Sunday, 11 9 2016, 12:00 — 18:00",2,Sunny.,34,34,1002,6,290,52
,,,1473616800000,18:00,"Sunday, 11 9 2016, 18:00 — 00:00",14,Overcast.,30,29,1004,0,0,76
true,"Mon, 12 Sep",12 Sep,1473638400000,00:00,"Monday, 12 9 2016, 00:00 — 06:00",13,Overcast.,27,27,1004,13,250,71
,,,1473660000000,06:00,"Monday, 12 9 2016, 06:00 — 12:00",3,Fog.,33,28,1006,19,270,61
,,,1473681600000,12:00,"Monday, 12 9 2016, 12:00 — 18:00",2,Sunny.,34,33,1003,8,290,54
,,,1473703200000,18:00,"Monday, 12 9 2016, 18:00 — 00:00",13,Overcast.,31,29,1005,0,0,72
true,"Tue, 13 Sep",13 Sep,1473724800000,00:00,"Tuesday, 13 9 2016, 00:00 — 06:00",9,Overcast.,28,28,1006,0,0,87
,,,1473746400000,06:00,"Tuesday, 13 9 2016, 06:00 — 12:00",3,Fog.,34,29,1008,9,250,62
,,,1473768000000,12:00,"Tuesday, 13 9 2016, 12:00 — 18:00",2,Sunny.,35,33,1005,9,320,55
,,,1473789600000,18:00,"Tuesday, 13 9 2016, 18:00 — 00:00",14,Overcast.,30,29,1007,7,90,76
true,"Wed, 14 Sep",14 Sep,1473811200000,00:00,"Wednesday, 14 9 2016, 00:00 — 06:00",14,Overcast.,28,27,1008,3,140,82
,,,1473832800000,06:00,"Wednesday, 14 9 2016, 06:00 — 12:00",9,Overcast.,33,28,1008,4,90,70
,,,1473854400000,12:00,"Wednesday, 14 9 2016, 12:00 — 18:00",7,Sprinkles. Broken clouds.,34,29,1005,7,20,72
