hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,,,,,
,,,1452600000000,12:00,Tuesday 12 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,25,22,1013,11,110,56,,,,,
,,,1452621600000,18:00,Tuesday 12 1 2016 18:00 — 00:00,14,Partly cloudy.,16,13,1015,0,0,88,,,,,
true,13/01/17,13 Jan,1452643200000,00:00,Wednesday 13 1 2016 00:00 — 06:00,14,Partly cloudy.,14,13,1014,6,90,96,,,,,
,,,1452664800000,06:00,Wednesday 13 1 2016 06:00 — 12:00,18,Snow flurries. Dense fog.,21,16,1015,6,110,76,,,,,
,,,1452686400000,12:00,Wednesday 13 1 2016 12:00 — 18:00,2,Broken clouds.,23,19,1013,2,270,68,,,,,
,,,1452708000000,18:00,Wednesday 13 1 2016 18:00 — 00:00,14,Partly cloudy.,16,15,1015,6,290,92,,,,,
true,14/01/17,14 Jan,1452729600000,00:00,Thursday 14 1 2016 00:00 — 06:00,36,No weather data available,,,0,0,0,0,,,,,
,,,1452751200000,06:00,Thursday 14 1 2016 06:00 — 12:00,9,Partly cloudy.,16,14,1017,7,230,85,,,,,
,,,1452772800000,12:00,Thursday 14 1 2016 12:00 — 18:00,6,Sprinkles. Fog.,18,17,1015,5,320,74,,,,,
,,,1452794400000,18:00,Thursday 14 1 2016 18:00 — 00:00,14,Partly cloudy.,14,12,1016,0,0,94,,,,,
true,15/01/17,15 Jan,1452816000000,00:00,Friday 15 1 2016 00:00 — 06:00,14,Partly cloudy.,10,10,1016,7,320,100,,,,,
,,,1452837600000,06:00,Friday 15 1 2016 06:00 — 12:00,9,Partly cloudy.,13,12,1018,9,320,92,,,,,
,,,1452859200000,12:00,Friday 15 1 2016 12:00 — 18:00,7,Sunny.,15,14,1016,12,270,75,,,,,
,,,1452880800000,18:00,Friday 15 1 2016 18:00 — 00:00,14,Partly cloudy.,13,12,1017,10,320,90,,,,,
true,16/01/17,16 Jan,1452902400000,00:00,Saturday 16 1 2016 00:00 — 06:00,14,Partly cloudy.,12,12,1016,8,290,96,,,,,
,,,1452924000000,06:00,Saturday 16 1 2016 06:00 — 12:00,9,Partly cloudy.,12,12,1015,15,320,85,,,,,
,,,1452945600000,12:00,Saturday 16 1 2016 12:00 — 18:00,2,Partly cloudy.,17,15,1013,8,320,74,,,,,
,,,1452967200000,18:00,Saturday 16 1 2016 18:00 — 00:00,14,Partly cloudy.,13,12,1015,6,320,93,,,,,
true,17/01/17,17 Jan,1452988800000,00:00,Sunday 17 1 2016 00:00 — 06:00,14,Partly cloudy.,11,11,1016,0,0,92,,,,,
,,,1453010400000,06:00,Sunday 17 1 2016 06:00 — 12:00,9,Partly cloudy.,16,11,1018,2,110,78,,,,,
,,,1453032000000,12:00,Sunday 17 1 2016 12:00 — 18:00,2,Fog.,19,17,1015,4,0,68,,,,,
,,,1453053600000,18:00,Sunday 17 1 2016 18:00 — 00:00,14,Partly cloudy.,12,10,1016,0,0,94,,,,,
true,18/01/17,18 Jan,1453075200000,00:00,Monday 18 1 2016 00:00 — 06:00,14,Partly cloudy.,9,7,1016,0,0,97,,,,,
,,,1453096800000,06:00,Monday 18 1 2016 06:00 — 12:00,9,Partly cloudy.,17,8,1017,0,0,84,,,,,
,,,1453118400000,12:00,Monday 18 1 2016 12:00 — 18:00,1,Thunderstorms. Fog.,19,17,1013,4,320,68,,,,,
,,,1453140000000,18:00,Monday 18 1 2016 18:00 — 00:00,14,Partly cloudy.,12,10,1014,0,0,92,,,,,
true,19/01/17,19 Jan,1453161600000,00:00,Tuesday 19 1 2016 00:00 — 06:00,14,Partly cloudy.,9,9,1014,7,290,97,,,,,
,,,1453183200000,06:00,Tuesday 19 1 2016 06:00 — 12:00,9,Partly cloudy.,13,11,1016,5,0,92,,,,,
,,,1453204800000,12:00,Tuesday 19 1 2016 12:00 — 18:00,9,Partly cloudy.,15,14,1015,0,0,84,,,,,
,,,1453226400000,18:00,Tuesday 19 1 2016 18:00 — 00:00,14,Partly cloudy.,11,10,1017,7,270,95,,,,,
true,20/01/17,20 Jan,1453248000000,00:00,Wednesday 20 1 2016 00:00 — 06:00,36,No weather data available,,,0,0,0,0,,,,,
,,,1453269600000,06:00,Wednesday 20 1 2016 06:00 — 12:00,9,Partly cloudy.,12,11,1019,6,290,90,,,,,
,,,1453291200000,12:00,Wednesday 20 1 2016 12:00 — 18:00,1,Thundershowers. Passing clouds.,15,14,1018,7,290,75,,,,,
,,,1453312800000,18:00,Wednesday 20 1 2016 18:00 — 00:00,14,Partly cloudy.,10,8,1020,2,270,96,,,,,
true,21/01/17,21 Jan,1453334400000,00:00,Thursday 21 1 2016 00:00 — 06:00,14,Partly cloudy.,9,9,1019,13,270,95,,,,,
,,,1453356000000,06:00,Thursday 21 1 2016 06:00 — 12:00,9,Partly cloudy.,12,9,1020,8,290,80,,,,,
,,,1453377600000,12:00,Thursday 21 1 2016 12:00 — 18:00,1,Thundershowers. Passing clouds.,17,15,1019,10,270,63,,,,,
