hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
,,,1455386400000,18:00,"Saturday, 13 2 2016, 18:00 — 00:00",13,Overcast.,16,13,1016,0,0,80
true,"Sun, 14 Feb",14 Feb,1455408000000,00:00,"Sunday, 14 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1455429600000,06:00,"Sunday, 14 2 2016, 06:00 — 12:00",9,Mild.,21,12,1018,9,270,68
,,,1455451200000,12:00,"Sunday, 14 2 2016, 12:00 — 18:00",1,Clear.,24,23,1015,12,290,49
,,,1455472800000,18:00,"Sunday, 14 2 2016, 18:00 — 00:00",13,Partly cloudy.,17,14,1018,2,290,76
true,"Mon, 15 Feb",15 Feb,1455494400000,00:00,"Monday, 15 2 2016, 00:00 — 06:00",14,Mild.,11,11,1018,0,0,88
,,,1455516000000,06:00,"Monday, 15 2 2016, 06:00 — 12:00",9,Mild.,20,13,1020,6,270,69
,,,1455537600000,12:00,"Monday, 15 2 2016, 12:00 — 18:00",6,Light snow. Overcast.,23,21,1017,6,340,46
,,,1455559200000,18:00,"Monday, 15 2 2016, 18:00 — 00:00",14,Mild.,17,14,1019,6,290,74
true,"Tue, 16 Feb",16 Feb,1455580800000,00:00,"Tuesday, 16 2 2016, 00:00 — 06:00",14,Mild.,10,10,1020,0,0,87
,,,1455602400000,06:00,"Tuesday, 16 2 2016, 06:00 — 12:00",3,Sunny.,20,20,1021,15,20,47
,,,1455624000000,12:00,"Tuesday, 16 2 2016, 12:00 — 18:00",3,Sunny.,24,23,1018,6,340,42
,,,1455645600000,18:00,"Tuesday, 16 2 2016, 18:00 — 00:00",14,Mild.,14,14,1021,0,0,80
true,"Wed, 17 Feb",17 Feb,1455667200000,00:00,"Wednesday, 17 2 2016, 00:00 — 06:00",14,Mild.,13,11,1020,0,0,89
,,,1455688800000,06:00,"Wednesday, 17 2 2016, 06:00 — 12:00",2,Partly cloudy.,19,13,1021,2,340,62
,,,1455710400000,12:00,"Wednesday, 17 2 2016, 12:00 — 18:00",1,Clear.,24,24,1018,6,0,46
,,,1455732000000,18:00,"Wednesday, 17 2 2016, 18:00 — 00:00",14,Partly sunny.,20,19,1017,0,0,73
true,"Thu, 18 Feb",18 Feb,1455753600000,00:00,"Thursday, 18 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1455775200000,06:00,"Thursday, 18 2 2016, 06:00 — 12:00",18,Overcast.,22,16,1019,4,290,80
,,,1455796800000,12:00,"Thursday, 18 2 2016, 12:00 — 18:00",7,Passing clouds.,23,21,1016,6,270,69
,,,1455818400000,18:00,"Thursday, 18 2 2016, 18:00 — 00:00",14,Partly sunny.,19,18,1016,6,270,84
true,"Fri, 19 Feb",19 Feb,1455840000000,00:00,"Friday, 19 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1455861600000,06:00,"Friday, 19 2 2016, 06:00 — 12:00",9,Mild.,26,17,1017,4,320,76
