hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Sun, 1 5",1 5,1462060800000,00:00,"Sunday, 1 5 2016, 00:00 — 06:00",13,Light rain. Mostly cloudy.,26,22,1003,0,0,56
,,,1462082400000,06:00,"Sunday, 1 5 2016, 06:00 — 12:00",1,Partly cloudy.,39,28,1004,9,230,28
,,,1462104000000,12:00,"Sunday, 1 5 2016, 12:00 — 18:00",1,Partly cloudy.,42,41,999,15,290,14
,,,1462125600000,18:00,"Sunday, 1 5 2016, 18:00 — 00:00",13,Light rain. Mostly cloudy.,31,28,1001,0,0,42
true,"Mon, 2 5",2 5,1462147200000,00:00,"Monday, 2 5 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1462168800000,06:00,"Monday, 2 5 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1462190400000,12:00,"Monday, 2 5 2016, 12:00 — 18:00",3,Light rain. Partly cloudy.,43,41,998,8,200,18
,,,1462212000000,18:00,"Monday, 2 5 2016, 18:00 — 00:00",14,Partly cloudy.,37,34,1002,4,320,26
true,"Tue, 3 5",3 5,1462233600000,00:00,"Tuesday, 3 5 2016, 00:00 — 06:00",6,Light snow. Overcast.,32,32,1003,9,270,37
,,,1462255200000,06:00,"Tuesday, 3 5 2016, 06:00 — 12:00",6,Mostly cloudy.,37,34,1005,7,290,32
,,,1462276800000,12:00,"Tuesday, 3 5 2016, 12:00 — 18:00",6,Mostly cloudy.,39,38,1001,5,20,32
,,,1462298400000,18:00,"Tuesday, 3 5 2016, 18:00 — 00:00",14,Mostly cloudy.,34,32,1003,5,90,44
true,"Wed, 4 5",4 5,1462320000000,00:00,"Wednesday, 4 5 2016, 00:00 — 06:00",14,Overcast.,29,28,1003,5,180,53
,,,1462341600000,06:00,"Wednesday, 4 5 2016, 06:00 — 12:00",3,Scattered showers. Partly sunny.,38,32,1004,13,90,40
,,,1462363200000,12:00,"Wednesday, 4 5 2016, 12:00 — 18:00",6,Mostly cloudy.,38,31,1002,13,230,32
,,,1462384800000,18:00,"Wednesday, 4 5 2016, 18:00 — 00:00",14,Overcast.,30,29,1003,0,0,45
true,"Thu, 5 5",5 5,1462406400000,00:00,"Thursday, 5 5 2016, 00:00 — 06:00",7,Cool.,25,25,1006,0,0,64
,,,1462428000000,06:00,"Thursday, 5 5 2016, 06:00 — 12:00",7,Partly sunny.,33,27,1009,16,90,50
,,,1462449600000,12:00,"Thursday, 5 5 2016, 12:00 — 18:00",6,Mostly cloudy.,34,34,1006,11,90,44
,,,1462471200000,18:00,"Thursday, 5 5 2016, 18:00 — 00:00",14,Overcast.,31,27,1008,16,250,42
true,"Fri, 6 5",6 5,1462492800000,00:00,"Friday, 6 5 2016, 00:00 — 06:00",14,Overcast.,27,26,1006,5,320,52
,,,1462514400000,06:00,"Friday, 6 5 2016, 06:00 — 12:00",2,Clear.,35,28,1008,6,140,44
,,,1462536000000,12:00,"Friday, 6 5 2016, 12:00 — 18:00",6,Mostly cloudy.,35,34,1006,7,140,36
,,,1462557600000,18:00,"Friday, 6 5 2016, 18:00 — 00:00",14,Overcast.,31,28,1005,2,160,52
true,"Sat, 7 5",7 5,1462579200000,00:00,"Saturday, 7 5 2016, 00:00 — 06:00",14,Overcast.,27,26,1005,0,0,56
,,,1462600800000,06:00,"Saturday, 7 5 2016, 06:00 — 12:00",3,Scattered clouds.,35,30,1007,4,140,42
,,,1462622400000,12:00,"Saturday, 7 5 2016, 12:00 — 18:00",6,Mostly cloudy.,38,37,1003,5,180,33
,,,1462644000000,18:00,"Saturday, 7 5 2016, 18:00 — 00:00",14,Overcast.,34,30,1004,4,140,48
true,"Sun, 8 5",8 5,1462665600000,00:00,"Sunday, 8 5 2016, 00:00 — 06:00",14,Overcast.,28,26,1005,2,270,66
,,,1462687200000,06:00,"Sunday, 8 5 2016, 06:00 — 12:00",1,Partly cloudy.,38,31,1007,6,140,44
,,,1462708800000,12:00,"Sunday, 8 5 2016, 12:00 — 18:00",1,Partly cloudy.,39,38,1004,11,50,33
,,,1462730400000,18:00,"Sunday, 8 5 2016, 18:00 — 00:00",14,Scattered clouds.,33,31,1005,6,90,48
true,"Mon, 9 5",9 5,1462752000000,00:00,"Monday, 9 5 2016, 00:00 — 06:00",2,Clear.,28,28,1006,6,70,62
,,,1462773600000,06:00,"Monday, 9 5 2016, 06:00 — 12:00",2,Clear.,35,30,1007,11,50,47
,,,1462795200000,12:00,"Monday, 9 5 2016, 12:00 — 18:00",3,Light rain. Partly cloudy.,37,37,1004,81,30,18
,,,1462816800000,18:00,"Monday, 9 5 2016, 18:00 — 00:00",13,Light rain. Mostly cloudy.,32,31,1005,5,140,48
true,"Tue, 10 5",10 5,1462838400000,00:00,"Tuesday, 10 5 2016, 00:00 — 06:00",14,Scattered clouds.,30,27,1006,4,140,58
