hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Fri, 1 Jul",1 Jul,1467331200000,00:00,"Friday, 1 7 2016, 00:00 — 06:00",34,Light rain. Passing clouds.,29,28,996,9,140,94
,,,1467352800000,06:00,"Friday, 1 7 2016, 06:00 — 12:00",9,Clear.,34,31,996,11,180,72
,,,1467374400000,12:00,"Friday, 1 7 2016, 12:00 — 18:00",7,Overcast.,35,35,991,9,90,65
,,,1467396000000,18:00,"Friday, 1 7 2016, 18:00 — 00:00",14,Clear.,30,29,994,7,140,82
true,"Sat, 2 Jul",2 Jul,1467417600000,00:00,"Saturday, 2 7 2016, 00:00 — 06:00",22,Sprinkles. Low clouds.,26,25,996,6,90,96
,,,1467439200000,06:00,"Saturday, 2 7 2016, 06:00 — 12:00",9,Clear.,29,28,998,9,110,86
,,,1467460800000,12:00,"Saturday, 2 7 2016, 12:00 — 18:00",9,Clear.,30,29,998,6,340,74
,,,1467482400000,18:00,"Saturday, 2 7 2016, 18:00 — 00:00",14,Clear.,28,28,998,5,20,80
true,"Sun, 3 Jul",3 Jul,1467504000000,00:00,"Sunday, 3 7 2016, 00:00 — 06:00",14,Clear.,28,26,998,0,0,94
,,,1467525600000,06:00,"Sunday, 3 7 2016, 06:00 — 12:00",7,Fog.,30,28,999,2,270,84
,,,1467547200000,12:00,"Sunday, 3 7 2016, 12:00 — 18:00",7,Sunny.,31,31,996,3,50,73
,,,1467568800000,18:00,"Sunday, 3 7 2016, 18:00 — 00:00",14,Clear.,30,28,997,0,0,85
true,"Mon, 4 Jul",4 Jul,1467590400000,00:00,"Monday, 4 7 2016, 00:00 — 06:00",22,Fog.,26,26,996,0,0,98
,,,1467612000000,06:00,"Monday, 4 7 2016, 06:00 — 12:00",9,Clear.,30,28,998,6,50,86
,,,1467633600000,12:00,"Monday, 4 7 2016, 12:00 — 18:00",7,Sunny.,34,33,994,4,20,66
,,,1467655200000,18:00,"Monday, 4 7 2016, 18:00 — 00:00",14,Clear.,31,30,996,2,140,81
true,"Tue, 5 Jul",5 Jul,1467676800000,00:00,"Tuesday, 5 7 2016, 00:00 — 06:00",14,Clear.,29,29,995,0,0,88
,,,1467698400000,06:00,"Tuesday, 5 7 2016, 06:00 — 12:00",9,Clear.,35,31,996,8,230,69
,,,1467720000000,12:00,"Tuesday, 5 7 2016, 12:00 — 18:00",7,Overcast.,36,34,992,6,250,62
,,,1467741600000,18:00,"Tuesday, 5 7 2016, 18:00 — 00:00",14,Rain. More clouds than sun.,33,32,994,0,0,79
true,"Wed, 6 Jul",6 Jul,1467763200000,00:00,"Wednesday, 6 7 2016, 00:00 — 06:00",14,Clear.,31,30,994,5,250,86
,,,1467784800000,06:00,"Wednesday, 6 7 2016, 06:00 — 12:00",9,Clear.,34,30,997,9,20,67
,,,1467806400000,12:00,"Wednesday, 6 7 2016, 12:00 — 18:00",6,Scattered showers. Passing clouds.,35,35,994,10,90,67
,,,1467828000000,18:00,"Wednesday, 6 7 2016, 18:00 — 00:00",14,More clouds than sun.,33,31,996,6,110,72
true,"Thu, 7 Jul",7 Jul,1467849600000,00:00,"Thursday, 7 7 2016, 00:00 — 06:00",9,Clear.,30,30,993,0,0,83
,,,1467871200000,06:00,"Thursday, 7 7 2016, 06:00 — 12:00",9,Clear.,34,31,998,10,140,70
,,,1467892800000,12:00,"Thursday, 7 7 2016, 12:00 — 18:00",6,Scattered showers. Passing clouds.,37,35,995,7,180,60
,,,1467914400000,18:00,"Thursday, 7 7 2016, 18:00 — 00:00",14,More clouds than sun.,34,32,996,4,90,70
true,"Fri, 8 Jul",8 Jul,1467936000000,00:00,"Friday, 8 7 2016, 00:00 — 06:00",9,Clear.,31,31,996,0,0,78
,,,1467957600000,06:00,"Friday, 8 7 2016, 06:00 — 12:00",6,Sunny.,33,31,997,16,160,68
,,,1467979200000,12:00,"Friday, 8 7 2016, 12:00 — 18:00",9,Clear.,31,29,996,2,110,82
,,,1468000800000,18:00,"Friday, 8 7 2016, 18:00 — 00:00",14,Clear.,29,29,997,0,0,83
true,"Sat, 9 Jul",9 Jul,1468022400000,00:00,"Saturday, 9 7 2016, 00:00 — 06:00",14,Clear.,29,29,996,0,0,90
,,,1468044000000,06:00,"Saturday, 9 7 2016, 06:00 — 12:00",9,Rain. More clouds than sun.,34,31,997,6,110,72
,,,1468065600000,12:00,"Saturday, 9 7 2016, 12:00 — 18:00",2,Passing clouds.,37,37,994,9,50,58
,,,1468087200000,18:00,"Saturday, 9 7 2016, 18:00 — 00:00",14,Clear.,31,30,996,6,230,74
true,"Sun, 10 Jul",10 Jul,1468108800000,00:00,"Sunday, 10 7 2016, 00:00 — 06:00",14,Clear.,30,30,996,2,140,78
,,,1468130400000,06:00,"Sunday, 10 7 2016, 06:00 — 12:00",2,Passing clouds.,35,31,996,6,140,70
,,,1468152000000,12:00,"Sunday, 10 7 2016, 12:00 — 18:00",7,Sunny.,35,32,994,6,340,64
,,,1468173600000,18:00,"Sunday, 10 7 2016, 18:00 — 00:00",14,Clear.,31,30,994,5,160,72
true,"Mon, 11 Jul",11 Jul,1468195200000,00:00,"Monday, 11 7 2016, 00:00 — 06:00",14,Clear.,30,29,996,2,90,84
,,,1468216800000,06:00,"Monday, 11 7 2016, 06:00 — 12:00",9,Clear.,31,29,998,8,110,78
,,,1468238400000,12:00,"Monday, 11 7 2016, 12:00 — 18:00",6,Sunny.,35,31,995,11,90,68
,,,1468260000000,18:00,"Monday, 11 7 2016, 18:00 — 00:00",14,Clear.,32,31,996,9,110,76
true,"Tue, 12 Jul",12 Jul,1468281600000,00:00,"Tuesday, 12 7 2016, 00:00 — 06:00",14,Clear.,30,30,998,3,90,84
,,,1468303200000,06:00,"Tuesday, 12 7 2016, 06:00 — 12:00",18,Light rain. Passing clouds.,33,29,998,9,110,82
,,,1468324800000,12:00,"Tuesday, 12 7 2016, 12:00 — 18:00",7,Fog.,30,29,997,6,320,85
,,,1468346400000,18:00,"Tuesday, 12 7 2016, 18:00 — 00:00",14,Clear.,29,29,998,0,0,88
true,"Wed, 13 Jul",13 Jul,1468368000000,00:00,"Wednesday, 13 7 2016, 00:00 — 06:00",14,Clear.,29,28,998,0,0,90
,,,1468389600000,06:00,"Wednesday, 13 7 2016, 06:00 — 12:00",9,Rain. More clouds than sun.,34,31,998,9,90,70
,,,1468411200000,12:00,"Wednesday, 13 7 2016, 12:00 — 18:00",6,Sunny.,34,29,996,16,50,79
,,,1468432800000,18:00,"Wednesday, 13 7 2016, 18:00 — 00:00",14,Clear.,29,29,998,0,0,91
true,"Thu, 14 Jul",14 Jul,1468454400000,00:00,"Thursday, 14 7 2016, 00:00 — 06:00",14,Clear.,29,29,997,0,0,90
,,,1468476000000,06:00,"Thursday, 14 7 2016, 06:00 — 12:00",9,Clear.,31,30,998,7,180,83
,,,1468497600000,12:00,"Thursday, 14 7 2016, 12:00 — 18:00",7,Overcast.,35,29,996,5,140,72
,,,1468519200000,18:00,"Thursday, 14 7 2016, 18:00 — 00:00",14,Clear.,28,27,998,0,0,94
true,"Fri, 15 Jul",15 Jul,1468540800000,00:00,"Friday, 15 7 2016, 00:00 — 06:00",14,Clear.,28,28,998,0,0,94
,,,1468562400000,06:00,"Friday, 15 7 2016, 06:00 — 12:00",9,Clear.,32,29,998,4,270,82
,,,1468584000000,12:00,"Friday, 15 7 2016, 12:00 — 18:00",7,Sunny.,32,32,996,11,270,73
,,,1468605600000,18:00,"Friday, 15 7 2016, 18:00 — 00:00",14,Clear.,31,30,998,6,250,86
true,"Sat, 16 Jul",16 Jul,1468627200000,00:00,"Saturday, 16 7 2016, 00:00 — 06:00",14,Clear.,30,29,997,0,0,90
,,,1468648800000,06:00,"Saturday, 16 7 2016, 06:00 — 12:00",18,Light rain. Passing clouds.,26,25,1000,3,270,100
,,,1468670400000,12:00,"Saturday, 16 7 2016, 12:00 — 18:00",9,Clear.,29,28,998,8,340,91
,,,1468692000000,18:00,"Saturday, 16 7 2016, 18:00 — 00:00",14,Clear.,28,27,1000,0,0,90
true,"Sun, 17 Jul",17 Jul,1468713600000,00:00,"Sunday, 17 7 2016, 00:00 — 06:00",14,Clear.,27,27,1000,0,0,96
