hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Fri, 1 Apr",1 Apr,1459490400000,06:00,"Friday, 1 4 2016, 06:00 — 12:00",3,Low clouds.,34,26,1007,18,270,42
,,,1459512000000,12:00,"Friday, 1 4 2016, 12:00 — 18:00",3,Sprinkles. Low clouds.,37,36,1004,15,290,26
,,,1459533600000,18:00,"Friday, 1 4 2016, 18:00 — 00:00",13,Rain showers. Fog.,30,26,1007,0,0,54
true,"Sat, 2 Apr",2 Apr,1459555200000,00:00,"Saturday, 2 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1459576800000,06:00,"Saturday, 2 4 2016, 06:00 — 12:00",3,Sprinkles. Low clouds.,35,27,1009,6,270,44
,,,1459598400000,12:00,"Saturday, 2 4 2016, 12:00 — 18:00",6,Overcast.,39,37,1005,10,290,24
,,,1459620000000,18:00,"Saturday, 2 4 2016, 18:00 — 00:00",14,Chilly.,31,28,1007,0,0,56
true,"Sun, 3 Apr",3 Apr,1459641600000,00:00,"Sunday, 3 4 2016, 00:00 — 06:00",14,Chilly.,25,25,1007,0,0,73
,,,1459663200000,06:00,"Sunday, 3 4 2016, 06:00 — 12:00",3,Low clouds.,36,28,1009,6,110,50
,,,1459684800000,12:00,"Sunday, 3 4 2016, 12:00 — 18:00",2,Overcast.,39,37,1005,4,50,36
,,,1459706400000,18:00,"Sunday, 3 4 2016, 18:00 — 00:00",14,Chilly.,31,29,1009,0,0,62
true,"Mon, 4 Apr",4 Apr,1459728000000,00:00,"Monday, 4 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1459749600000,06:00,"Monday, 4 4 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1459771200000,12:00,"Monday, 4 4 2016, 12:00 — 18:00",6,Overcast.,38,37,1004,7,230,22
,,,1459792800000,18:00,"Monday, 4 4 2016, 18:00 — 00:00",14,Strong thunderstorms. Overcast.,33,33,1005,6,320,39
true,"Tue, 5 Apr",5 Apr,1459814400000,00:00,"Tuesday, 5 4 2016, 00:00 — 06:00",13,Rain showers. Fog.,29,27,1006,4,320,60
,,,1459836000000,06:00,"Tuesday, 5 4 2016, 06:00 — 12:00",2,Mostly cloudy.,35,29,1008,10,340,39
,,,1459857600000,12:00,"Tuesday, 5 4 2016, 12:00 — 18:00",6,Overcast.,35,34,1005,13,320,26
,,,1459879200000,18:00,"Tuesday, 5 4 2016, 18:00 — 00:00",17,Broken clouds.,31,30,1006,9,320,28
true,"Wed, 6 Apr",6 Apr,1459900800000,00:00,"Wednesday, 6 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1459922400000,06:00,"Wednesday, 6 4 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1459944000000,12:00,"Wednesday, 6 4 2016, 12:00 — 18:00",2,Overcast.,36,35,1005,9,200,28
,,,1459965600000,18:00,"Wednesday, 6 4 2016, 18:00 — 00:00",14,Low clouds.,30,27,1006,0,0,48
true,"Thu, 7 Apr",7 Apr,1459987200000,00:00,"Thursday, 7 4 2016, 00:00 — 06:00",14,Broken clouds.,26,23,1006,6,250,66
,,,1460008800000,06:00,"Thursday, 7 4 2016, 06:00 — 12:00",7,Passing clouds.,32,23,1008,9,270,53
,,,1460030400000,12:00,"Thursday, 7 4 2016, 12:00 — 18:00",2,Overcast.,35,35,1005,13,290,28
,,,1460052000000,18:00,"Thursday, 7 4 2016, 18:00 — 00:00",14,Chilly.,30,26,1008,8,320,44
true,"Fri, 8 Apr",8 Apr,1460073600000,00:00,"Friday, 8 4 2016, 00:00 — 06:00",14,Extremely cold.,24,20,1009,5,20,64
,,,1460095200000,06:00,"Friday, 8 4 2016, 06:00 — 12:00",1,Partly cloudy.,33,24,1011,4,180,43
,,,1460116800000,12:00,"Friday, 8 4 2016, 12:00 — 18:00",3,Sprinkles. Low clouds.,34,34,1007,9,340,22
,,,1460138400000,18:00,"Friday, 8 4 2016, 18:00 — 00:00",13,Partly cloudy.,28,23,1009,0,0,54
true,"Sat, 9 Apr",9 Apr,1460160000000,00:00,"Saturday, 9 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1460181600000,06:00,"Saturday, 9 4 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1460203200000,12:00,"Saturday, 9 4 2016, 12:00 — 18:00",1,Broken clouds.,36,36,1007,57,270,10
,,,1460224800000,18:00,"Saturday, 9 4 2016, 18:00 — 00:00",14,Chilly.,30,29,1009,6,320,42
true,"Sun, 10 Apr",10 Apr,1460246400000,00:00,"Sunday, 10 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1460268000000,06:00,"Sunday, 10 4 2016, 06:00 — 12:00",6,Overcast.,35,35,1009,7,320,32
,,,1460289600000,12:00,"Sunday, 10 4 2016, 12:00 — 18:00",6,Overcast.,36,35,1007,6,20,30
,,,1460311200000,18:00,"Sunday, 10 4 2016, 18:00 — 00:00",14,Low clouds.,29,28,1008,5,320,41
true,"Mon, 11 Apr",11 Apr,1460332800000,00:00,"Monday, 11 4 2016, 00:00 — 06:00",13,More clouds than sun.,27,22,1008,12,0,56
,,,1460354400000,06:00,"Monday, 11 4 2016, 06:00 — 12:00",1,Partly cloudy.,31,25,1010,18,290,46
,,,1460376000000,12:00,"Monday, 11 4 2016, 12:00 — 18:00",1,Broken clouds.,35,34,1007,15,320,32
,,,1460397600000,18:00,"Monday, 11 4 2016, 18:00 — 00:00",14,Low clouds.,30,28,1009,11,320,42
true,"Tue, 12 Apr",12 Apr,1460419200000,00:00,"Tuesday, 12 4 2016, 00:00 — 06:00",3,Broken clouds.,23,23,1007,9,270,62
,,,1460440800000,06:00,"Tuesday, 12 4 2016, 06:00 — 12:00",1,Partly cloudy.,32,25,1008,17,270,48
,,,1460462400000,12:00,"Tuesday, 12 4 2016, 12:00 — 18:00",1,Broken clouds.,34,34,1003,30,270,33
,,,1460484000000,18:00,"Tuesday, 12 4 2016, 18:00 — 00:00",13,Rain showers. Fog.,30,28,1005,13,290,40
true,"Wed, 13 Apr",13 Apr,1460505600000,00:00,"Wednesday, 13 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1460527200000,06:00,"Wednesday, 13 4 2016, 06:00 — 12:00",1,Partly cloudy.,34,27,1005,21,270,38
,,,1460548800000,12:00,"Wednesday, 13 4 2016, 12:00 — 18:00",1,Broken clouds.,38,37,1001,23,320,17
,,,1460570400000,18:00,"Wednesday, 13 4 2016, 18:00 — 00:00",13,Rain showers. Fog.,31,27,1002,2,290,38
true,"Thu, 14 Apr",14 Apr,1460592000000,00:00,"Thursday, 14 4 2016, 00:00 — 06:00",1,Cool.,25,25,1002,7,270,44
,,,1460613600000,06:00,"Thursday, 14 4 2016, 06:00 — 12:00",1,Broken clouds.,35,29,1004,12,270,29
,,,1460635200000,12:00,"Thursday, 14 4 2016, 12:00 — 18:00",1,Broken clouds.,39,38,1002,19,290,16
,,,1460656800000,18:00,"Thursday, 14 4 2016, 18:00 — 00:00",14,Low clouds.,31,28,1003,0,0,41
true,"Fri, 15 Apr",15 Apr,1460678400000,00:00,"Friday, 15 4 2016, 00:00 — 06:00",1,Cool.,23,23,1004,0,0,54
,,,1460700000000,06:00,"Friday, 15 4 2016, 06:00 — 12:00",6,Overcast.,37,37,1005,19,290,21
,,,1460721600000,12:00,"Friday, 15 4 2016, 12:00 — 18:00",2,Overcast.,39,39,1002,18,290,18
,,,1460743200000,18:00,"Friday, 15 4 2016, 18:00 — 00:00",14,Low clouds.,32,28,1004,0,0,43
true,"Sat, 16 Apr",16 Apr,1460764800000,00:00,"Saturday, 16 4 2016, 00:00 — 06:00",6,Clear.,25,25,1004,4,230,55
,,,1460786400000,06:00,"Saturday, 16 4 2016, 06:00 — 12:00",7,Broken clouds.,39,31,1004,8,270,27
,,,1460808000000,12:00,"Saturday, 16 4 2016, 12:00 — 18:00",2,Overcast.,42,41,1001,15,270,18
,,,1460829600000,18:00,"Saturday, 16 4 2016, 18:00 — 00:00",14,Strong thunderstorms. Overcast.,33,32,1001,3,290,38
true,"Sun, 17 Apr",17 Apr,1460851200000,00:00,"Sunday, 17 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1460872800000,06:00,"Sunday, 17 4 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1460894400000,12:00,"Sunday, 17 4 2016, 12:00 — 18:00",6,Overcast.,40,39,1000,6,230,22
,,,1460916000000,18:00,"Sunday, 17 4 2016, 18:00 — 00:00",13,Scattered showers. Passing clouds.,32,30,1003,2,180,42
true,"Mon, 18 Apr",18 Apr,1460937600000,00:00,"Monday, 18 4 2016, 00:00 — 06:00",2,Mostly cloudy.,29,29,1004,7,270,48
,,,1460959200000,06:00,"Monday, 18 4 2016, 06:00 — 12:00",1,Broken clouds.,37,37,1005,19,270,29
,,,1460980800000,12:00,"Monday, 18 4 2016, 12:00 — 18:00",2,Overcast.,39,39,1001,6,250,25
,,,1461002400000,18:00,"Monday, 18 4 2016, 18:00 — 00:00",13,Rain showers. Fog.,33,29,1004,0,0,44
true,"Tue, 19 Apr",19 Apr,1461024000000,00:00,"Tuesday, 19 4 2016, 00:00 — 06:00",3,Low clouds.,26,26,1004,0,0,65
,,,1461045600000,06:00,"Tuesday, 19 4 2016, 06:00 — 12:00",6,Overcast.,36,30,1007,6,110,44
,,,1461067200000,12:00,"Tuesday, 19 4 2016, 12:00 — 18:00",2,Overcast.,40,39,1003,7,230,22
,,,1461088800000,18:00,"Tuesday, 19 4 2016, 18:00 — 00:00",14,Chilly.,34,29,1006,0,0,44
true,"Wed, 20 Apr",20 Apr,1461110400000,00:00,"Wednesday, 20 4 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1461132000000,06:00,"Wednesday, 20 4 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
,,,1461153600000,12:00,"Wednesday, 20 4 2016, 12:00 — 18:00",3,Sprinkles. Low clouds.,38,38,1003,13,290,21
