hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Mon, 1 Aug",1 Aug,1470009600000,00:00,"Monday, 1 8 2016, 00:00 — 06:00",18,Thunderstorms. Cloudy.,28,28,998,4,70,94
,,,1470031200000,06:00,"Monday, 1 8 2016, 06:00 — 12:00",18,Ice fog.,29,28,999,5,90,90
,,,1470052800000,12:00,"Monday, 1 8 2016, 12:00 — 18:00",6,Clear.,33,30,997,5,90,76
,,,1470074400000,18:00,"Monday, 1 8 2016, 18:00 — 00:00",34,Ice fog.,27,27,998,0,0,94
true,"Tue, 2 Aug",2 Aug,1470096000000,00:00,"Tuesday, 2 8 2016, 00:00 — 06:00",14,Mild.,27,27,998,4,90,95
,,,1470117600000,06:00,"Tuesday, 2 8 2016, 06:00 — 12:00",9,Mild.,32,28,998,8,90,78
,,,1470139200000,12:00,"Tuesday, 2 8 2016, 12:00 — 18:00",2,Sunny.,32,32,996,2,140,73
,,,1470160800000,18:00,"Tuesday, 2 8 2016, 18:00 — 00:00",14,Mild.,30,29,997,5,90,79
true,"Wed, 3 Aug",3 Aug,1470182400000,00:00,"Wednesday, 3 8 2016, 00:00 — 06:00",14,Mild.,27,27,997,3,50,86
,,,1470204000000,06:00,"Wednesday, 3 8 2016, 06:00 — 12:00",9,Mild.,33,29,999,6,140,70
,,,1470225600000,12:00,"Wednesday, 3 8 2016, 12:00 — 18:00",2,Partly cloudy.,36,35,996,7,140,56
,,,1470247200000,18:00,"Wednesday, 3 8 2016, 18:00 — 00:00",14,Mild.,32,31,998,0,0,74
true,"Thu, 4 Aug",4 Aug,1470268800000,00:00,"Thursday, 4 8 2016, 00:00 — 06:00",14,Mild.,30,29,998,2,90,82
,,,1470290400000,06:00,"Thursday, 4 8 2016, 06:00 — 12:00",9,Mild.,34,31,998,5,140,70
,,,1470312000000,12:00,"Thursday, 4 8 2016, 12:00 — 18:00",2,Partly cloudy.,36,36,996,14,90,56
,,,1470333600000,18:00,"Thursday, 4 8 2016, 18:00 — 00:00",14,Light rain. Mostly cloudy.,33,31,998,7,70,70
true,"Fri, 5 Aug",5 Aug,1470355200000,00:00,"Friday, 5 8 2016, 00:00 — 06:00",14,Mild.,30,29,998,0,0,81
,,,1470376800000,06:00,"Friday, 5 8 2016, 06:00 — 12:00",2,Sunny.,34,32,1000,10,140,68
,,,1470398400000,12:00,"Friday, 5 8 2016, 12:00 — 18:00",2,Partly cloudy.,37,36,997,2,110,55
,,,1470420000000,18:00,"Friday, 5 8 2016, 18:00 — 00:00",14,Passing clouds.,34,32,999,0,0,70
true,"Sat, 6 Aug",6 Aug,1470441600000,00:00,"Saturday, 6 8 2016, 00:00 — 06:00",14,Mild.,31,30,999,0,0,86
