hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Tue, 1 Nov",1 Nov,1477958400000,00:00,"Tuesday, 1 11 2016, 00:00 — 06:00",13,Overcast.,30,27,1013,9,60,50
,,,1477980000000,06:00,"Tuesday, 1 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,27,1014,12,70,40
,,,1478001600000,12:00,"Tuesday, 1 11 2016, 12:00 — 18:00",1,Overcast.,36,31,1011,11,80,33
,,,1478023200000,18:00,"Tuesday, 1 11 2016, 18:00 — 00:00",13,Overcast.,31,29,1012,10,340,47
true,"Wed, 2 Nov",2 Nov,1478044800000,00:00,"Wednesday, 2 11 2016, 00:00 — 06:00",13,Sunny.,29,27,1012,13,60,33
,,,1478066400000,06:00,"Wednesday, 2 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,27,1013,18,100,29
,,,1478088000000,12:00,"Wednesday, 2 11 2016, 12:00 — 18:00",1,Drizzle. Mostly cloudy.,35,31,1011,12,40,28
,,,1478109600000,18:00,"Wednesday, 2 11 2016, 18:00 — 00:00",14,Passing clouds.,31,27,1012,11,80,42
true,"Thu, 3 Nov",3 Nov,1478131200000,00:00,"Thursday, 3 11 2016, 00:00 — 06:00",13,Overcast.,28,23,1011,8,30,44
,,,1478152800000,06:00,"Thursday, 3 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,23,1014,12,100,36
,,,1478174400000,12:00,"Thursday, 3 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1011,12,330,29
,,,1478196000000,18:00,"Thursday, 3 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1012,11,340,52
true,"Fri, 4 Nov",4 Nov,1478217600000,00:00,"Friday, 4 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1011,7,80,48
,,,1478239200000,06:00,"Friday, 4 11 2016, 06:00 — 12:00",1,Overcast.,32,25,1013,6,50,39
,,,1478260800000,12:00,"Friday, 4 11 2016, 12:00 — 18:00",1,Overcast.,33,29,1009,15,280,38
,,,1478282400000,18:00,"Friday, 4 11 2016, 18:00 — 00:00",14,Light snow. Overcast.,29,27,1010,10,330,54
true,"Sat, 5 Nov",5 Nov,1478304000000,00:00,"Saturday, 5 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1010,6,90,62
,,,1478325600000,06:00,"Saturday, 5 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,24,1011,11,70,47
,,,1478347200000,12:00,"Saturday, 5 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1009,14,270,42
,,,1478368800000,18:00,"Saturday, 5 11 2016, 18:00 — 00:00",13,Overcast.,29,27,1010,10,10,53
true,"Sun, 6 Nov",6 Nov,1478390400000,00:00,"Sunday, 6 11 2016, 00:00 — 06:00",13,Overcast.,27,25,1010,6,110,50
,,,1478412000000,06:00,"Sunday, 6 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,25,1012,12,70,35
,,,1478433600000,12:00,"Sunday, 6 11 2016, 12:00 — 18:00",1,Overcast.,34,29,1010,11,10,31
,,,1478455200000,18:00,"Sunday, 6 11 2016, 18:00 — 00:00",14,Light snow. Overcast.,29,27,1012,8,320,60
true,"Mon, 7 Nov",7 Nov,1478476800000,00:00,"Monday, 7 11 2016, 00:00 — 06:00",14,Light rain. Overcast.,27,23,1012,6,90,67
,,,1478498400000,06:00,"Monday, 7 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,23,1014,10,50,47
,,,1478520000000,12:00,"Monday, 7 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1012,15,290,42
,,,1478541600000,18:00,"Monday, 7 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1013,8,140,47
true,"Tue, 8 Nov",8 Nov,1478563200000,00:00,"Tuesday, 8 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1013,4,130,49
,,,1478584800000,06:00,"Tuesday, 8 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,24,1015,8,80,38
,,,1478606400000,12:00,"Tuesday, 8 11 2016, 12:00 — 18:00",1,Drizzle. Mostly cloudy.,35,31,1012,13,320,31
,,,1478628000000,18:00,"Tuesday, 8 11 2016, 18:00 — 00:00",13,Sunny.,31,27,1014,11,50,35
true,"Wed, 9 Nov",9 Nov,1478649600000,00:00,"Wednesday, 9 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1013,3,110,46
,,,1478671200000,06:00,"Wednesday, 9 11 2016, 06:00 — 12:00",1,Sunny.,33,24,1015,12,120,39
,,,1478692800000,12:00,"Wednesday, 9 11 2016, 12:00 — 18:00",1,Sunny.,35,30,1013,11,300,26
,,,1478714400000,18:00,"Wednesday, 9 11 2016, 18:00 — 00:00",13,Sunny.,30,27,1014,9,10,39
true,"Thu, 10 Nov",10 Nov,1478736000000,00:00,"Thursday, 10 11 2016, 00:00 — 06:00",13,Overcast.,27,22,1013,6,90,47
,,,1478757600000,06:00,"Thursday, 10 11 2016, 06:00 — 12:00",1,Sunny.,32,22,1015,10,130,39
,,,1478779200000,12:00,"Thursday, 10 11 2016, 12:00 — 18:00",1,Sunny.,33,30,1012,14,290,34
,,,1478800800000,18:00,"Thursday, 10 11 2016, 18:00 — 00:00",13,Overcast.,30,26,1013,8,0,41
true,"Fri, 11 Nov",11 Nov,1478822400000,00:00,"Friday, 11 11 2016, 00:00 — 06:00",13,Overcast.,26,22,1012,5,110,57
,,,1478844000000,06:00,"Friday, 11 11 2016, 06:00 — 12:00",1,Sunny.,32,22,1014,9,100,43
,,,1478865600000,12:00,"Friday, 11 11 2016, 12:00 — 18:00",1,Sunny.,35,30,1011,12,270,22
,,,1478887200000,18:00,"Friday, 11 11 2016, 18:00 — 00:00",13,Overcast.,30,26,1012,9,100,39
true,"Sat, 12 Nov",12 Nov,1478908800000,00:00,"Saturday, 12 11 2016, 00:00 — 06:00",13,Overcast.,26,23,1012,4,120,51
,,,1478930400000,06:00,"Saturday, 12 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,23,1014,9,90,44
,,,1478952000000,12:00,"Saturday, 12 11 2016, 12:00 — 18:00",1,Drizzle. Mostly cloudy.,35,30,1011,11,80,26
,,,1478973600000,18:00,"Saturday, 12 11 2016, 18:00 — 00:00",13,Overcast.,30,26,1013,8,40,46
true,"Sun, 13 Nov",13 Nov,1478995200000,00:00,"Sunday, 13 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1013,8,30,51
,,,1479016800000,06:00,"Sunday, 13 11 2016, 06:00 — 12:00",1,Sunny.,31,23,1015,15,60,37
,,,1479038400000,12:00,"Sunday, 13 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1013,12,290,33
,,,1479060000000,18:00,"Sunday, 13 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1013,7,340,50
true,"Mon, 14 Nov",14 Nov,1479081600000,00:00,"Monday, 14 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1013,4,90,51
,,,1479103200000,06:00,"Monday, 14 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,25,1014,9,80,38
,,,1479124800000,12:00,"Monday, 14 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1012,11,260,40
,,,1479146400000,18:00,"Monday, 14 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1013,7,320,52
true,"Tue, 15 Nov",15 Nov,1479168000000,00:00,"Tuesday, 15 11 2016, 00:00 — 06:00",14,Light snow. Overcast.,27,25,1012,3,150,68
,,,1479189600000,06:00,"Tuesday, 15 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,25,1013,8,60,54
,,,1479211200000,12:00,"Tuesday, 15 11 2016, 12:00 — 18:00",1,Overcast.,35,31,1011,10,280,43
,,,1479232800000,18:00,"Tuesday, 15 11 2016, 18:00 — 00:00",13,Overcast.,30,28,1012,5,320,58
true,"Wed, 16 Nov",16 Nov,1479254400000,00:00,"Wednesday, 16 11 2016, 00:00 — 06:00",13,Overcast.,28,26,1012,5,80,66
,,,1479276000000,06:00,"Wednesday, 16 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,26,1013,12,70,56
,,,1479297600000,12:00,"Wednesday, 16 11 2016, 12:00 — 18:00",1,Overcast.,35,30,1011,10,270,52
,,,1479319200000,18:00,"Wednesday, 16 11 2016, 18:00 — 00:00",14,Light snow. Overcast.,30,29,1013,9,340,63
true,"Thu, 17 Nov",17 Nov,1479340800000,00:00,"Thursday, 17 11 2016, 00:00 — 06:00",14,Light snow. Overcast.,29,27,1013,6,40,63
,,,1479362400000,06:00,"Thursday, 17 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,27,1014,14,50,49
,,,1479384000000,12:00,"Thursday, 17 11 2016, 12:00 — 18:00",1,Overcast.,35,31,1012,14,60,35
,,,1479405600000,18:00,"Thursday, 17 11 2016, 18:00 — 00:00",13,Overcast.,31,29,1013,10,330,52
true,"Fri, 18 Nov",18 Nov,1479427200000,00:00,"Friday, 18 11 2016, 00:00 — 06:00",13,Sunny.,29,26,1013,14,80,41
,,,1479448800000,06:00,"Friday, 18 11 2016, 06:00 — 12:00",2,Clear.,32,26,1014,16,90,35
,,,1479470400000,12:00,"Friday, 18 11 2016, 12:00 — 18:00",2,Passing clouds.,33,30,1010,14,50,31
,,,1479492000000,18:00,"Friday, 18 11 2016, 18:00 — 00:00",14,Passing clouds.,30,27,1011,8,340,51
true,"Sat, 19 Nov",19 Nov,1479513600000,00:00,"Saturday, 19 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1010,6,100,47
,,,1479535200000,06:00,"Saturday, 19 11 2016, 06:00 — 12:00",2,Light fog.,32,24,1012,11,90,35
,,,1479556800000,12:00,"Saturday, 19 11 2016, 12:00 — 18:00",2,Passing clouds.,35,30,1009,10,260,36
,,,1479578400000,18:00,"Saturday, 19 11 2016, 18:00 — 00:00",14,Passing clouds.,30,26,1010,7,190,51
true,"Sun, 20 Nov",20 Nov,1479600000000,00:00,"Sunday, 20 11 2016, 00:00 — 06:00",13,Overcast.,26,22,1010,4,120,55
,,,1479621600000,06:00,"Sunday, 20 11 2016, 06:00 — 12:00",1,Sunny.,32,22,1013,9,110,42
,,,1479643200000,12:00,"Sunday, 20 11 2016, 12:00 — 18:00",1,Overcast.,34,29,1010,12,290,34
,,,1479664800000,18:00,"Sunday, 20 11 2016, 18:00 — 00:00",13,Overcast.,29,26,1011,6,320,55
true,"Mon, 21 Nov",21 Nov,1479686400000,00:00,"Monday, 21 11 2016, 00:00 — 06:00",14,Light rain. Overcast.,26,21,1011,4,0,64
,,,1479708000000,06:00,"Monday, 21 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,21,1013,9,130,45
,,,1479729600000,12:00,"Monday, 21 11 2016, 12:00 — 18:00",1,Sunny.,34,31,1010,13,300,27
,,,1479751200000,18:00,"Monday, 21 11 2016, 18:00 — 00:00",13,Overcast.,30,26,1012,7,340,46
true,"Tue, 22 Nov",22 Nov,1479772800000,00:00,"Tuesday, 22 11 2016, 00:00 — 06:00",13,Overcast.,27,22,1010,6,130,51
,,,1479794400000,06:00,"Tuesday, 22 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,21,1012,11,110,36
,,,1479816000000,12:00,"Tuesday, 22 11 2016, 12:00 — 18:00",1,Overcast.,35,29,1011,11,280,33
,,,1479837600000,18:00,"Tuesday, 22 11 2016, 18:00 — 00:00",13,Overcast.,29,26,1011,8,10,47
true,"Wed, 23 Nov",23 Nov,1479859200000,00:00,"Wednesday, 23 11 2016, 00:00 — 06:00",13,Overcast.,26,24,1010,4,130,52
,,,1479880800000,06:00,"Wednesday, 23 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,23,1012,9,110,40
,,,1479902400000,12:00,"Wednesday, 23 11 2016, 12:00 — 18:00",1,Overcast.,35,30,1010,11,290,32
,,,1479924000000,18:00,"Wednesday, 23 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1011,8,140,45
true,"Thu, 24 Nov",24 Nov,1479945600000,00:00,"Thursday, 24 11 2016, 00:00 — 06:00",13,Overcast.,27,23,1011,4,110,54
,,,1479967200000,06:00,"Thursday, 24 11 2016, 06:00 — 12:00",2,Sprinkles. Fog.,32,25,1013,9,90,39
,,,1479988800000,12:00,"Thursday, 24 11 2016, 12:00 — 18:00",1,Drizzle. Mostly cloudy.,34,31,1010,12,280,30
,,,1480010400000,18:00,"Thursday, 24 11 2016, 18:00 — 00:00",13,Overcast.,31,27,1012,11,90,46
true,"Fri, 25 Nov",25 Nov,1480032000000,00:00,"Friday, 25 11 2016, 00:00 — 06:00",13,Overcast.,27,24,1011,5,80,48
,,,1480053600000,06:00,"Friday, 25 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,32,23,1013,8,90,38
,,,1480075200000,12:00,"Friday, 25 11 2016, 12:00 — 18:00",1,Overcast.,34,30,1010,12,120,28
,,,1480096800000,18:00,"Friday, 25 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1011,8,40,44
true,"Sat, 26 Nov",26 Nov,1480118400000,00:00,"Saturday, 26 11 2016, 00:00 — 06:00",13,Overcast.,26,22,1011,7,110,51
,,,1480140000000,06:00,"Saturday, 26 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,22,1013,9,120,37
,,,1480161600000,12:00,"Saturday, 26 11 2016, 12:00 — 18:00",1,Sunny.,34,30,1011,13,300,29
,,,1480183200000,18:00,"Saturday, 26 11 2016, 18:00 — 00:00",13,Overcast.,30,27,1013,7,340,43
true,"Sun, 27 Nov",27 Nov,1480204800000,00:00,"Sunday, 27 11 2016, 00:00 — 06:00",14,Light rain. Overcast.,27,23,1012,5,70,58
,,,1480226400000,06:00,"Sunday, 27 11 2016, 06:00 — 12:00",1,Sunny.,32,23,1014,7,80,46
,,,1480248000000,12:00,"Sunday, 27 11 2016, 12:00 — 18:00",1,Overcast.,35,30,1011,12,300,30
,,,1480269600000,18:00,"Sunday, 27 11 2016, 18:00 — 00:00",13,Overcast.,30,26,1012,8,330,45
true,"Mon, 28 Nov",28 Nov,1480291200000,00:00,"Monday, 28 11 2016, 00:00 — 06:00",13,Overcast.,26,24,1012,4,100,56
,,,1480312800000,06:00,"Monday, 28 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,34,24,1013,8,30,45
,,,1480334400000,12:00,"Monday, 28 11 2016, 12:00 — 18:00",1,Sunny.,35,31,1010,13,260,35
,,,1480356000000,18:00,"Monday, 28 11 2016, 18:00 — 00:00",13,Overcast.,31,26,1012,5,340,55
true,"Tue, 29 Nov",29 Nov,1480377600000,00:00,"Tuesday, 29 11 2016, 00:00 — 06:00",14,Light rain. Overcast.,26,24,1012,4,110,78
,,,1480399200000,06:00,"Tuesday, 29 11 2016, 06:00 — 12:00",1,Drizzle. Mostly cloudy.,33,23,1014,7,120,59
,,,1480420800000,12:00,"Tuesday, 29 11 2016, 12:00 — 18:00",1,Overcast.,31,29,1012,13,280,53
,,,1480442400000,18:00,"Tuesday, 29 11 2016, 18:00 — 00:00",13,Overcast.,29,27,1013,6,340,54
true,"Wed, 30 Nov",30 Nov,1480464000000,00:00,"Wednesday, 30 11 2016, 00:00 — 06:00",14,Light rain. Overcast.,28,23,1012,2,90,68
,,,1480485600000,06:00,"Wednesday, 30 11 2016, 06:00 — 12:00",1,Overcast.,33,22,1015,6,90,61
,,,1480507200000,12:00,"Wednesday, 30 11 2016, 12:00 — 18:00",1,Overcast.,33,29,1012,13,270,48
,,,1480528800000,18:00,"Wednesday, 30 11 2016, 18:00 — 00:00",13,Overcast.,29,27,1013,4,330,52
