hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Mon, 1 Aug",1 Aug,1470009600000,00:00,"Monday, 1 8 2016, 00:00 — 06:00",34,Light snow. Partly sunny.,27,25,1006,18,250,95
,,,1470031200000,06:00,"Monday, 1 8 2016, 06:00 — 12:00",18,Heavy rain. Overcast.,28,25,1006,23,240,91
,,,1470052800000,12:00,"Monday, 1 8 2016, 12:00 — 18:00",18,Heavy rain. Overcast.,28,25,1004,23,240,94
,,,1470074400000,18:00,"Monday, 1 8 2016, 18:00 — 00:00",17,Scattered clouds.,28,26,1005,27,240,86
true,"Tue, 2 Aug",2 Aug,1470096000000,00:00,"Tuesday, 2 8 2016, 00:00 — 06:00",34,Light snow. Sunny.,28,27,1003,26,250,87
,,,1470117600000,06:00,"Tuesday, 2 8 2016, 06:00 — 12:00",6,Light rain. Partly cloudy.,28,27,1003,21,240,85
,,,1470139200000,12:00,"Tuesday, 2 8 2016, 12:00 — 18:00",6,Light rain. Partly cloudy.,28,26,1001,22,250,87
,,,1470160800000,18:00,"Tuesday, 2 8 2016, 18:00 — 00:00",17,Scattered clouds.,28,27,1001,19,240,86
true,"Wed, 3 Aug",3 Aug,1470182400000,00:00,"Wednesday, 3 8 2016, 00:00 — 06:00",17,Scattered clouds.,28,27,1001,21,250,85
,,,1470204000000,06:00,"Wednesday, 3 8 2016, 06:00 — 12:00",6,Light rain. Partly cloudy.,29,28,1002,21,240,84
,,,1470225600000,12:00,"Wednesday, 3 8 2016, 12:00 — 18:00",6,Light rain. Partly cloudy.,29,25,1001,24,250,86
,,,1470247200000,18:00,"Wednesday, 3 8 2016, 18:00 — 00:00",17,Scattered clouds.,28,25,1002,22,250,89
true,"Thu, 4 Aug",4 Aug,1470268800000,00:00,"Thursday, 4 8 2016, 00:00 — 06:00",17,Scattered clouds.,28,26,1002,22,260,89
,,,1470290400000,06:00,"Thursday, 4 8 2016, 06:00 — 12:00",6,Passing clouds.,30,26,1003,25,250,87
,,,1470312000000,12:00,"Thursday, 4 8 2016, 12:00 — 18:00",6,Passing clouds.,30,29,1003,20,240,80
,,,1470333600000,18:00,"Thursday, 4 8 2016, 18:00 — 00:00",15,Clear.,29,27,1003,16,240,86
true,"Fri, 5 Aug",5 Aug,1470355200000,00:00,"Friday, 5 8 2016, 00:00 — 06:00",15,Clear.,28,26,1002,15,250,90
,,,1470376800000,06:00,"Friday, 5 8 2016, 06:00 — 12:00",20,Scattered showers. Overcast.,27,25,1003,21,270,96
,,,1470398400000,12:00,"Friday, 5 8 2016, 12:00 — 18:00",6,Passing clouds.,28,25,1002,22,250,94
,,,1470420000000,18:00,"Friday, 5 8 2016, 18:00 — 00:00",17,Scattered clouds.,28,26,1003,22,240,88
