hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Wed, 1 Jun",1 Jun,1464739200000,00:00,"Wednesday, 1 6 2016, 00:00 — 06:00",14,Passing clouds.,31,31,1008,11,270,74
,,,1464760800000,06:00,"Wednesday, 1 6 2016, 06:00 — 12:00",2,Light snow. Overcast.,33,31,1009,13,260,69
,,,1464782400000,12:00,"Wednesday, 1 6 2016, 12:00 — 18:00",2,More clouds than sun.,34,32,1007,19,280,61
,,,1464804000000,18:00,"Wednesday, 1 6 2016, 18:00 — 00:00",14,Passing clouds.,32,31,1007,17,290,70
true,"Thu, 2 Jun",2 Jun,1464825600000,00:00,"Thursday, 2 6 2016, 00:00 — 06:00",14,Passing clouds.,31,31,1007,13,280,70
,,,1464847200000,06:00,"Thursday, 2 6 2016, 06:00 — 12:00",2,Light snow. Overcast.,34,33,1009,16,280,62
,,,1464868800000,12:00,"Thursday, 2 6 2016, 12:00 — 18:00",2,More clouds than sun.,35,32,1006,18,290,60
,,,1464890400000,18:00,"Thursday, 2 6 2016, 18:00 — 00:00",14,Passing clouds.,32,31,1007,18,290,71
true,"Fri, 3 Jun",3 Jun,1464912000000,00:00,"Friday, 3 6 2016, 00:00 — 06:00",14,Passing clouds.,31,30,1007,12,280,72
,,,1464933600000,06:00,"Friday, 3 6 2016, 06:00 — 12:00",2,Passing clouds.,34,30,1008,11,310,64
,,,1464955200000,12:00,"Friday, 3 6 2016, 12:00 — 18:00",2,More clouds than sun.,34,32,1006,22,280,61
,,,1464976800000,18:00,"Friday, 3 6 2016, 18:00 — 00:00",14,Passing clouds.,32,31,1006,19,270,74
true,"Sat, 4 Jun",4 Jun,1464998400000,00:00,"Saturday, 4 6 2016, 00:00 — 06:00",14,Passing clouds.,31,30,1006,14,280,74
,,,1465020000000,06:00,"Saturday, 4 6 2016, 06:00 — 12:00",2,Light snow. Overcast.,34,31,1008,12,260,70
,,,1465041600000,12:00,"Saturday, 4 6 2016, 12:00 — 18:00",2,Light snow. Overcast.,34,32,1006,17,270,66
,,,1465063200000,18:00,"Saturday, 4 6 2016, 18:00 — 00:00",14,Passing clouds.,32,31,1006,19,260,75
