date,weather,tempHigh,tempLow
121,Scattered clouds.,33,28
122,Clear.,32,28
123,Snow showers. Ice fog.,34,28
124,Snow showers. Ice fog.,32,29
125,Snow showers. Ice fog.,32,29
126,Snow showers. Ice fog.,32,28
127,Snow showers. Ice fog.,32,28
128,Snow showers. Ice fog.,33,29
129,Mostly cloudy.,33,29
130,Scattered clouds.,31,29
131,Scattered showers. Partly sunny.,33,29
132,Snow showers. Ice fog.,33,29
133,Snow showers. Ice fog.,33,29
134,Snow showers. Ice fog.,32,30
135,Snow showers. Ice fog.,33,29
136,Snow showers. Ice fog.,33,29
137,Snow showers. Ice fog.,33,29
138,Snow showers. Ice fog.,33,30
139,Snow showers. Ice fog.,33,30
140,Snow showers. Ice fog.,33,30
141,Sprinkles. Fog.,32,30
142,Snow showers. Ice fog.,33,30
143,Snow showers. Ice fog.,33,30
144,Snow showers. Ice fog.,34,30
145,Snow showers. Ice fog.,33,30
146,Snow showers. Ice fog.,34,30
147,Snow showers. Ice fog.,33,30
148,Snow showers. Ice fog.,34,30
149,Snow showers. Ice fog.,33,30
150,Snow showers. Ice fog.,34,30
151,Mostly cloudy.,34,30
