date,weather,tempHigh,tempLow
152,Light snow. Overcast.,33,31
153,Light snow. Overcast.,34,33
154,Passing clouds.,34,30
155,Light snow. Overcast.,34,31
156,Scattered showers. Broken clouds.,33,29
157,Scattered showers. Broken clouds.,32,31
158,Light snow. Overcast.,33,30
159,Light snow. Overcast.,33,31
160,Light snow. Overcast.,34,31
161,Light snow. Overcast.,33,31
162,Partly cloudy.,31,26
163,Scattered showers. Broken clouds.,33,31
164,Light snow. Overcast.,33,31
165,Light snow. Overcast.,33,30
166,Light snow. Overcast.,33,30
167,Light snow. Overcast.,33,30
168,Light snow. Overcast.,33,30
169,Scattered showers. Broken clouds.,33,28
170,Extremely cold.,31,30
171,Scattered showers. Overcast.,29,25
172,Extremely cold.,31,25
173,Scattered showers. Overcast.,31,27
174,Extremely cold.,30,27
175,Extremely cold.,29,27
176,Broken clouds.,28,27
177,Extremely cold.,29,25
178,Extremely cold.,29,26
179,Light mixture of precip. Broken clouds.,28,27
180,High level clouds.,27,25
181,Extremely cold.,29,26
