date,weather,tempHigh,tempLow
335,Haze.,33,24
336,Rain. Fog.,32,22
337,Clear.,32,22
338,Haze.,33,27
339,Snow showers. Ice fog.,33,26
340,Partly sunny.,31,25
341,Clear.,31,21
342,Clear.,32,22
343,Clear.,31,21
344,Clear.,31,20
345,Thunderstorms. Passing clouds.,30,20
346,Thunderstorms. Passing clouds.,31,22
347,Thunderstorms. Passing clouds.,32,23
348,Haze.,32,24
349,Broken clouds.,32,25
350,Partly sunny.,33,27
351,Haze.,32,26
352,Haze.,33,25
353,Thunderstorms. Passing clouds.,30,22
354,Clear.,31,23
355,Thunderstorms. Passing clouds.,32,23
356,Clear.,32,22
357,Thunderstorms. Passing clouds.,31,22
358,Clear.,31,22
359,Rain. Overcast.,31,21
360,Clear.,32,23
361,Clear.,30,23
362,Clear.,31,20
363,Clear.,32,22
364,Clear.,33,21
365,Clear.,32,23
