hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Sat, 13 Feb",13 Feb,1455321600000,00:00,"Saturday, 13 2 2016, 00:00 — 06:00",14,Sunny.,23,21,1014,4,0,69
,,,1455343200000,06:00,"Saturday, 13 2 2016, 06:00 — 12:00",2,,26,21,1015,10,60,63
,,,1455364800000,12:00,"Saturday, 13 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,28,26,1013,15,310,51
,,,1455386400000,18:00,"Saturday, 13 2 2016, 18:00 — 00:00",14,Sunny.,26,24,1014,12,310,58
true,"Sun, 14 Feb",14 Feb,1455408000000,00:00,"Sunday, 14 2 2016, 00:00 — 06:00",14,Sunny.,24,21,1013,7,340,69
,,,1455429600000,06:00,"Sunday, 14 2 2016, 06:00 — 12:00",1,Snow. Fog.,29,21,1014,4,50,58
,,,1455451200000,12:00,"Sunday, 14 2 2016, 12:00 — 18:00",1,Snow. Fog.,30,27,1011,19,320,32
,,,1455472800000,18:00,"Sunday, 14 2 2016, 18:00 — 00:00",14,Heavy rain. Overcast.,27,25,1013,13,330,31
true,"Mon, 15 Feb",15 Feb,1455494400000,00:00,"Monday, 15 2 2016, 00:00 — 06:00",14,More clouds than sun.,25,22,1013,5,0,40
,,,1455516000000,06:00,"Monday, 15 2 2016, 06:00 — 12:00",1,Snow. Fog.,31,22,1014,4,250,41
,,,1455537600000,12:00,"Monday, 15 2 2016, 12:00 — 18:00",1,Snow. Fog.,31,28,1012,16,280,35
,,,1455559200000,18:00,"Monday, 15 2 2016, 18:00 — 00:00",14,,28,25,1013,10,320,44
true,"Tue, 16 Feb",16 Feb,1455580800000,00:00,"Tuesday, 16 2 2016, 00:00 — 06:00",14,More clouds than sun.,25,23,1013,7,10,56
,,,1455602400000,06:00,"Tuesday, 16 2 2016, 06:00 — 12:00",1,Snow. Fog.,30,23,1014,7,0,46
,,,1455624000000,12:00,"Tuesday, 16 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,31,27,1011,17,260,44
,,,1455645600000,18:00,"Tuesday, 16 2 2016, 18:00 — 00:00",14,Partly sunny.,27,25,1013,10,300,73
true,"Wed, 17 Feb",17 Feb,1455667200000,00:00,"Wednesday, 17 2 2016, 00:00 — 06:00",14,Partly sunny.,25,24,1013,4,200,89
,,,1455688800000,06:00,"Wednesday, 17 2 2016, 06:00 — 12:00",9,Heavy snow. Ice fog.,30,24,1014,5,190,78
,,,1455710400000,12:00,"Wednesday, 17 2 2016, 12:00 — 18:00",3,Partly sunny.,31,27,1012,17,270,56
,,,1455732000000,18:00,"Wednesday, 17 2 2016, 18:00 — 00:00",14,Partly sunny.,27,26,1013,9,280,71
true,"Thu, 18 Feb",18 Feb,1455753600000,00:00,"Thursday, 18 2 2016, 00:00 — 06:00",14,Sunny.,26,24,1012,2,50,74
,,,1455775200000,06:00,"Thursday, 18 2 2016, 06:00 — 12:00",1,Drizzle. Low clouds.,30,23,1014,6,30,63
,,,1455796800000,12:00,"Thursday, 18 2 2016, 12:00 — 18:00",2,,31,28,1011,16,310,52
,,,1455818400000,18:00,"Thursday, 18 2 2016, 18:00 — 00:00",14,,28,27,1013,7,310,60
true,"Fri, 19 Feb",19 Feb,1455840000000,00:00,"Friday, 19 2 2016, 00:00 — 06:00",14,Partly sunny.,27,25,1013,3,120,64
,,,1455861600000,06:00,"Friday, 19 2 2016, 06:00 — 12:00",3,Partly sunny.,29,25,1015,6,0,73
,,,1455883200000,12:00,"Friday, 19 2 2016, 12:00 — 18:00",2,,30,27,1014,16,300,60
,,,1455904800000,18:00,"Friday, 19 2 2016, 18:00 — 00:00",14,Partly sunny.,27,26,1015,13,340,73
true,"Sat, 20 Feb",20 Feb,1455926400000,00:00,"Saturday, 20 2 2016, 00:00 — 06:00",14,Partly sunny.,27,26,1015,2,340,61
,,,1455948000000,06:00,"Saturday, 20 2 2016, 06:00 — 12:00",2,Fog.,31,25,1016,10,350,64
,,,1455969600000,12:00,"Saturday, 20 2 2016, 12:00 — 18:00",2,Fog.,31,29,1014,17,300,52
,,,1455991200000,18:00,"Saturday, 20 2 2016, 18:00 — 00:00",14,,30,28,1014,8,330,53
true,"Sun, 21 Feb",21 Feb,1456012800000,00:00,"Sunday, 21 2 2016, 00:00 — 06:00",14,,28,26,1013,5,340,56
,,,1456034400000,06:00,"Sunday, 21 2 2016, 06:00 — 12:00",2,Fog.,31,26,1015,4,260,51
,,,1456056000000,12:00,"Sunday, 21 2 2016, 12:00 — 18:00",2,Sunny.,32,31,1012,17,320,40
,,,1456077600000,18:00,"Sunday, 21 2 2016, 18:00 — 00:00",14,Heavy rain. Overcast.,32,28,1014,14,330,26
true,"Mon, 22 Feb",22 Feb,1456099200000,00:00,"Monday, 22 2 2016, 00:00 — 06:00",14,,28,25,1013,7,350,38
,,,1456120800000,06:00,"Monday, 22 2 2016, 06:00 — 12:00",2,Heavy rain. Overcast.,31,25,1015,8,0,31
,,,1456142400000,12:00,"Monday, 22 2 2016, 12:00 — 18:00",2,Sunny.,32,29,1013,18,320,20
,,,1456164000000,18:00,"Monday, 22 2 2016, 18:00 — 00:00",14,Heavy rain. Overcast.,29,25,1014,12,350,33
true,"Tue, 23 Feb",23 Feb,1456185600000,00:00,"Tuesday, 23 2 2016, 00:00 — 06:00",14,More clouds than sun.,25,23,1012,6,350,47
,,,1456207200000,06:00,"Tuesday, 23 2 2016, 06:00 — 12:00",2,Heavy rain. Overcast.,30,23,1013,5,230,47
,,,1456228800000,12:00,"Tuesday, 23 2 2016, 12:00 — 18:00",2,,31,29,1010,17,280,50
,,,1456250400000,18:00,"Tuesday, 23 2 2016, 18:00 — 00:00",14,Partly sunny.,29,25,1011,10,220,73
true,"Wed, 24 Feb",24 Feb,1456272000000,00:00,"Wednesday, 24 2 2016, 00:00 — 06:00",14,Partly sunny.,25,24,1010,4,190,86
,,,1456293600000,06:00,"Wednesday, 24 2 2016, 06:00 — 12:00",3,Partly sunny.,28,23,1012,9,180,79
,,,1456315200000,12:00,"Wednesday, 24 2 2016, 12:00 — 18:00",3,Partly sunny.,29,27,1011,21,220,65
,,,1456336800000,18:00,"Wednesday, 24 2 2016, 18:00 — 00:00",14,Partly sunny.,27,25,1011,10,230,76
true,"Thu, 25 Feb",25 Feb,1456358400000,00:00,"Thursday, 25 2 2016, 00:00 — 06:00",14,Sunny.,25,24,1012,5,170,83
,,,1456380000000,06:00,"Thursday, 25 2 2016, 06:00 — 12:00",9,Heavy snow. Ice fog.,30,23,1014,6,100,76
,,,1456401600000,12:00,"Thursday, 25 2 2016, 12:00 — 18:00",2,Fog.,30,27,1012,16,280,46
,,,1456423200000,18:00,"Thursday, 25 2 2016, 18:00 — 00:00",14,Partly sunny.,27,25,1013,8,310,70
true,"Fri, 26 Feb",26 Feb,1456444800000,00:00,"Friday, 26 2 2016, 00:00 — 06:00",14,Sunny.,25,23,1013,0,0,80
,,,1456466400000,06:00,"Friday, 26 2 2016, 06:00 — 12:00",3,Partly sunny.,30,24,1014,2,280,67
,,,1456488000000,12:00,"Friday, 26 2 2016, 12:00 — 18:00",2,,31,28,1012,16,280,49
,,,1456509600000,18:00,"Friday, 26 2 2016, 18:00 — 00:00",14,Partly sunny.,28,26,1013,8,310,71
true,"Sat, 27 Feb",27 Feb,1456531200000,00:00,"Saturday, 27 2 2016, 00:00 — 06:00",14,Partly sunny.,26,24,1012,3,220,83
,,,1456552800000,06:00,"Saturday, 27 2 2016, 06:00 — 12:00",1,More clouds than sun.,34,24,1013,6,110,67
,,,1456574400000,12:00,"Saturday, 27 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,34,30,1012,15,280,56
,,,1456596000000,18:00,"Saturday, 27 2 2016, 18:00 — 00:00",14,Partly sunny.,30,27,1014,6,350,53
true,"Sun, 28 Feb",28 Feb,1456617600000,00:00,"Sunday, 28 2 2016, 00:00 — 06:00",14,Heavy snow. Ice fog.,27,25,1013,3,190,81
,,,1456639200000,06:00,"Sunday, 28 2 2016, 06:00 — 12:00",9,Heavy snow. Ice fog.,30,26,1015,6,230,80
,,,1456660800000,12:00,"Sunday, 28 2 2016, 12:00 — 18:00",3,Partly sunny.,31,29,1013,17,260,63
,,,1456682400000,18:00,"Sunday, 28 2 2016, 18:00 — 00:00",14,Partly sunny.,29,27,1014,6,260,65
true,"Mon, 29 Feb",29 Feb,1456704000000,00:00,"Monday, 29 2 2016, 00:00 — 06:00",14,Heavy snow. Ice fog.,27,26,1014,1,70,75
,,,1456725600000,06:00,"Monday, 29 2 2016, 06:00 — 12:00",9,Heavy snow. Ice fog.,32,26,1016,6,200,75
,,,1456747200000,12:00,"Monday, 29 2 2016, 12:00 — 18:00",3,Partly sunny.,32,30,1013,15,270,60
,,,1456768800000,18:00,"Monday, 29 2 2016, 18:00 — 00:00",14,,30,28,1013,8,280,57
