hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Thu, 1 Dec",1 Dec,1480550400000,00:00,"Thursday, 1 12 2016, 00:00 — 06:00",14,Rain. Fog.,26,23,1012,2,200,66
,,,1480572000000,06:00,"Thursday, 1 12 2016, 06:00 — 12:00",1,Haze.,33,24,1014,5,140,50
,,,1480593600000,12:00,"Thursday, 1 12 2016, 12:00 — 18:00",1,Partly cloudy.,33,30,1011,11,290,41
,,,1480615200000,18:00,"Thursday, 1 12 2016, 18:00 — 00:00",13,Partly cloudy.,29,27,1013,7,340,44
true,"Fri, 2 Dec",2 Dec,1480636800000,00:00,"Friday, 2 12 2016, 00:00 — 06:00",13,Extremely cold.,27,22,1012,4,90,59
,,,1480658400000,06:00,"Friday, 2 12 2016, 06:00 — 12:00",3,Rain. Fog.,32,22,1014,9,130,54
,,,1480680000000,12:00,"Friday, 2 12 2016, 12:00 — 18:00",1,Partly cloudy.,35,30,1011,13,40,33
,,,1480701600000,18:00,"Friday, 2 12 2016, 18:00 — 00:00",13,Partly cloudy.,30,27,1012,10,340,49
true,"Sat, 3 Dec",3 Dec,1480723200000,00:00,"Saturday, 3 12 2016, 00:00 — 06:00",13,Extremely cold.,27,24,1012,8,140,51
,,,1480744800000,06:00,"Saturday, 3 12 2016, 06:00 — 12:00",1,Clear.,32,22,1014,11,110,43
,,,1480766400000,12:00,"Saturday, 3 12 2016, 12:00 — 18:00",1,Partly cloudy.,35,31,1012,10,80,37
,,,1480788000000,18:00,"Saturday, 3 12 2016, 18:00 — 00:00",13,Partly cloudy.,30,27,1014,9,40,53
true,"Sun, 4 Dec",4 Dec,1480809600000,00:00,"Sunday, 4 12 2016, 00:00 — 06:00",13,Partly cloudy.,28,27,1013,10,50,51
,,,1480831200000,06:00,"Sunday, 4 12 2016, 06:00 — 12:00",1,Haze.,33,27,1016,13,60,48
,,,1480852800000,12:00,"Sunday, 4 12 2016, 12:00 — 18:00",2,Partly sunny.,36,30,1013,13,110,48
,,,1480874400000,18:00,"Sunday, 4 12 2016, 18:00 — 00:00",14,Passing clouds.,30,28,1014,7,10,58
true,"Mon, 5 Dec",5 Dec,1480896000000,00:00,"Monday, 5 12 2016, 00:00 — 06:00",14,Passing clouds.,28,26,1013,7,120,64
,,,1480917600000,06:00,"Monday, 5 12 2016, 06:00 — 12:00",2,Snow showers. Ice fog.,33,26,1014,11,80,51
,,,1480939200000,12:00,"Monday, 5 12 2016, 12:00 — 18:00",2,Partly sunny.,34,31,1012,12,300,48
,,,1480960800000,18:00,"Monday, 5 12 2016, 18:00 — 00:00",14,Partly sunny.,31,29,1014,7,320,54
true,"Tue, 6 Dec",6 Dec,1480982400000,00:00,"Tuesday, 6 12 2016, 00:00 — 06:00",14,Partly sunny.,29,26,1013,2,40,61
,,,1481004000000,06:00,"Tuesday, 6 12 2016, 06:00 — 12:00",2,Partly sunny.,31,25,1015,12,100,47
,,,1481025600000,12:00,"Tuesday, 6 12 2016, 12:00 — 18:00",1,Partly cloudy.,34,30,1012,11,310,32
,,,1481047200000,18:00,"Tuesday, 6 12 2016, 18:00 — 00:00",13,Partly cloudy.,30,27,1013,8,330,48
true,"Wed, 7 Dec",7 Dec,1481068800000,00:00,"Wednesday, 7 12 2016, 00:00 — 06:00",13,Extremely cold.,24,23,1012,7,140,52
,,,1481090400000,06:00,"Wednesday, 7 12 2016, 06:00 — 12:00",1,Clear.,31,21,1015,11,120,42
,,,1481112000000,12:00,"Wednesday, 7 12 2016, 12:00 — 18:00",1,Partly cloudy.,34,29,1012,12,110,32
,,,1481133600000,18:00,"Wednesday, 7 12 2016, 18:00 — 00:00",13,Partly cloudy.,29,26,1013,8,330,49
true,"Thu, 8 Dec",8 Dec,1481155200000,00:00,"Thursday, 8 12 2016, 00:00 — 06:00",13,Extremely cold.,26,23,1013,6,120,51
,,,1481176800000,06:00,"Thursday, 8 12 2016, 06:00 — 12:00",1,Clear.,32,22,1015,10,100,40
,,,1481198400000,12:00,"Thursday, 8 12 2016, 12:00 — 18:00",1,Clear.,33,30,1012,13,300,28
,,,1481220000000,18:00,"Thursday, 8 12 2016, 18:00 — 00:00",13,Partly cloudy.,28,26,1014,5,320,45
true,"Fri, 9 Dec",9 Dec,1481241600000,00:00,"Friday, 9 12 2016, 00:00 — 06:00",13,Extremely cold.,26,21,1012,3,140,57
,,,1481263200000,06:00,"Friday, 9 12 2016, 06:00 — 12:00",1,Clear.,31,21,1013,9,120,50
,,,1481284800000,12:00,"Friday, 9 12 2016, 12:00 — 18:00",1,Clear.,32,30,1011,13,280,38
,,,1481306400000,18:00,"Friday, 9 12 2016, 18:00 — 00:00",14,Passing clouds.,28,25,1013,6,350,56
true,"Sat, 10 Dec",10 Dec,1481328000000,00:00,"Saturday, 10 12 2016, 00:00 — 06:00",14,Rain. Fog.,25,20,1012,0,0,69
,,,1481349600000,06:00,"Saturday, 10 12 2016, 06:00 — 12:00",1,Clear.,31,20,1013,6,300,48
,,,1481371200000,12:00,"Saturday, 10 12 2016, 12:00 — 18:00",1,Partly cloudy.,31,28,1011,15,280,40
,,,1481392800000,18:00,"Saturday, 10 12 2016, 18:00 — 00:00",13,Partly cloudy.,28,25,1011,8,350,48
true,"Sun, 11 Dec",11 Dec,1481414400000,00:00,"Sunday, 11 12 2016, 00:00 — 06:00",13,Extremely cold.,25,20,1011,4,130,55
,,,1481436000000,06:00,"Sunday, 11 12 2016, 06:00 — 12:00",2,Thunderstorms. Passing clouds.,30,20,1012,8,120,43
,,,1481457600000,12:00,"Sunday, 11 12 2016, 12:00 — 18:00",1,Partly cloudy.,30,28,1010,15,270,38
,,,1481479200000,18:00,"Sunday, 11 12 2016, 18:00 — 00:00",14,Passing clouds.,28,25,1011,8,0,60
true,"Mon, 12 Dec",12 Dec,1481500800000,00:00,"Monday, 12 12 2016, 00:00 — 06:00",14,Rain. Fog.,24,21,1009,1,100,66
,,,1481522400000,06:00,"Monday, 12 12 2016, 06:00 — 12:00",2,Thunderstorms. Passing clouds.,31,22,1013,6,120,44
,,,1481544000000,12:00,"Monday, 12 12 2016, 12:00 — 18:00",1,Clear.,34,30,1010,13,260,33
,,,1481565600000,18:00,"Monday, 12 12 2016, 18:00 — 00:00",13,Partly cloudy.,29,26,1011,7,340,44
true,"Tue, 13 Dec",13 Dec,1481587200000,00:00,"Tuesday, 13 12 2016, 00:00 — 06:00",13,Extremely cold.,26,22,1010,3,0,53
,,,1481608800000,06:00,"Tuesday, 13 12 2016, 06:00 — 12:00",2,Thunderstorms. Passing clouds.,32,23,1011,7,30,40
,,,1481630400000,12:00,"Tuesday, 13 12 2016, 12:00 — 18:00",1,Clear.,35,31,1009,14,320,30
,,,1481652000000,18:00,"Tuesday, 13 12 2016, 18:00 — 00:00",13,Partly cloudy.,30,26,1010,10,340,46
true,"Wed, 14 Dec",14 Dec,1481673600000,00:00,"Wednesday, 14 12 2016, 00:00 — 06:00",13,Extremely cold.,27,24,1010,4,150,41
,,,1481695200000,06:00,"Wednesday, 14 12 2016, 06:00 — 12:00",1,Haze.,32,24,1012,10,60,34
,,,1481716800000,12:00,"Wednesday, 14 12 2016, 12:00 — 18:00",1,Haze.,34,31,1010,13,70,40
,,,1481738400000,18:00,"Wednesday, 14 12 2016, 18:00 — 00:00",14,Partly sunny.,30,27,1012,6,120,54
true,"Thu, 15 Dec",15 Dec,1481760000000,00:00,"Thursday, 15 12 2016, 00:00 — 06:00",14,Passing clouds.,28,26,1011,6,40,64
,,,1481781600000,06:00,"Thursday, 15 12 2016, 06:00 — 12:00",2,Broken clouds.,32,25,1013,12,70,55
,,,1481803200000,12:00,"Thursday, 15 12 2016, 12:00 — 18:00",2,Partly sunny.,34,30,1011,13,300,49
,,,1481824800000,18:00,"Thursday, 15 12 2016, 18:00 — 00:00",14,Partly sunny.,30,29,1013,8,340,53
true,"Fri, 16 Dec",16 Dec,1481846400000,00:00,"Friday, 16 12 2016, 00:00 — 06:00",14,Partly sunny.,29,26,1012,5,70,57
,,,1481868000000,06:00,"Friday, 16 12 2016, 06:00 — 12:00",2,Partly sunny.,33,27,1014,13,70,46
,,,1481889600000,12:00,"Friday, 16 12 2016, 12:00 — 18:00",1,Haze.,34,30,1013,13,280,41
,,,1481911200000,18:00,"Friday, 16 12 2016, 18:00 — 00:00",13,Partly cloudy.,30,28,1014,9,310,55
true,"Sat, 17 Dec",17 Dec,1481932800000,00:00,"Saturday, 17 12 2016, 00:00 — 06:00",13,Partly cloudy.,28,26,1014,9,80,51
,,,1481954400000,06:00,"Saturday, 17 12 2016, 06:00 — 12:00",1,Haze.,32,26,1015,12,110,44
,,,1481976000000,12:00,"Saturday, 17 12 2016, 12:00 — 18:00",1,Haze.,34,31,1013,13,310,40
,,,1481997600000,18:00,"Saturday, 17 12 2016, 18:00 — 00:00",13,Partly cloudy.,31,28,1014,9,340,42
true,"Sun, 18 Dec",18 Dec,1482019200000,00:00,"Sunday, 18 12 2016, 00:00 — 06:00",13,Extremely cold.,28,24,1014,3,110,44
,,,1482040800000,06:00,"Sunday, 18 12 2016, 06:00 — 12:00",1,Haze.,33,25,1016,10,110,38
,,,1482062400000,12:00,"Sunday, 18 12 2016, 12:00 — 18:00",1,Clear.,33,30,1014,14,310,32
,,,1482084000000,18:00,"Sunday, 18 12 2016, 18:00 — 00:00",13,Clear.,30,27,1015,11,20,33
true,"Mon, 19 Dec",19 Dec,1482105600000,00:00,"Monday, 19 12 2016, 00:00 — 06:00",13,Extremely cold.,27,22,1014,2,170,45
,,,1482127200000,06:00,"Monday, 19 12 2016, 06:00 — 12:00",2,Thunderstorms. Passing clouds.,30,22,1016,7,110,41
,,,1482148800000,12:00,"Monday, 19 12 2016, 12:00 — 18:00",1,Partly cloudy.,32,29,1013,14,270,40
,,,1482170400000,18:00,"Monday, 19 12 2016, 18:00 — 00:00",13,Partly cloudy.,29,25,1014,8,340,56
