date,weather,tempHigh,tempLow
182,Rain. Cloudy.,30,26
183,Rain. Mostly cloudy.,28,27
184,Thunderstorms. Passing clouds.,30,27
185,Clear.,30,28
186,Clear.,30,27
187,Clear.,29,27
188,Clear.,29,28
189,Mostly cloudy.,29,28
190,Mostly cloudy.,30,28
191,Mostly cloudy.,29,27
192,Rain. Mostly cloudy.,29,27
193,Mostly cloudy.,29,27
194,Clear.,30,27
195,Light snow. Partly sunny.,30,28
196,Clear.,29,26
197,Clear.,30,28
198,Rain. Fog.,29,26
199,Clear.,29,26
200,Light mixture of precip. Overcast.,27,25
201,Clear.,29,27
202,Heavy snow. Mostly cloudy.,26,25
203,Light mixture of precip. Overcast.,29,26
204,Rain. Mostly cloudy.,29,25
205,Clear.,29,26
206,Clear.,29,27
207,Clear.,28,25
208,Mostly cloudy.,26,25
209,Light mixture of precip. Overcast.,28,24
210,Heavy snow. Mostly cloudy.,28,24
211,Light mixture of precip. Overcast.,27,24
212,Rain. Mostly cloudy.,28,26
