date,weather,tempHigh,tempLow
91,Light rain. More clouds than sun.,32,26
92,Low clouds.,31,26
93,Low clouds.,31,26
94,Mostly cloudy.,31,27
95,Frigid.,29,27
96,Low clouds.,31,27
97,Strong thunderstorms. Overcast.,33,27
98,Cloudy.,36,26
99,Light rain. Partly sunny.,35,27
100,Strong thunderstorms. Overcast.,32,28
101,Strong thunderstorms. Overcast.,36,28
102,Low clouds.,35,28
103,Low clouds.,32,27
104,Scattered showers. Passing clouds.,34,26
105,Low clouds.,32,26
106,Low clouds.,31,27
107,Chilly.,32,27
108,Strong thunderstorms. Overcast.,33,27
109,Scattered showers. Passing clouds.,33,28
110,Clear.,32,28
111,Mostly cloudy.,31,28
112,Mostly cloudy.,31,28
113,Mostly cloudy.,31,27
114,Mostly cloudy.,31,28
115,Mostly cloudy.,31,28
116,Light rain. More clouds than sun.,33,26
117,Light rain. Partly sunny.,38,28
118,Light rain. Partly sunny.,36,29
119,Strong thunderstorms. Overcast.,33,28
120,Light rain. More clouds than sun.,34,28
