date,weather,tempHigh,tempLow
274,Light rain. Dense fog.,28,26
275,Rain showers. Fog.,26,24
276,More clouds than sun.,26,25
277,Thunderstorms. Passing clouds.,27,25
278,More clouds than sun.,26,24
279,Partly cloudy.,29,25
280,Partly cloudy.,30,26
281,Mostly cloudy.,30,26
282,Partly cloudy.,30,26
283,Clear.,30,27
284,More clouds than sun.,30,27
285,Clear.,30,26
286,Mostly cloudy.,32,26
287,Mostly cloudy.,33,25
288,Extremely cold.,33,26
289,Clear.,33,27
290,Partly cloudy.,32,28
291,Clear.,34,29
292,Light snow. Overcast.,35,28
293,Clear.,33,26
294,Mostly cloudy.,33,26
295,Mostly cloudy.,33,26
296,Clear.,34,26
297,Mostly cloudy.,32,26
298,Mostly cloudy.,31,26
299,Extremely cold.,31,23
300,Sprinkles. Fog.,34,26
301,Sprinkles. Fog.,34,25
302,Partly cloudy.,34,25
303,Partly cloudy.,33,24
304,Partly cloudy.,33,27
