date,weather,tempHigh,tempLow
1,Thunderstorms. Low clouds.,34,24
2,Light rain. Partly sunny.,32,23
3,Drizzle. Overcast.,31,22
4,Light rain. Partly sunny.,32,23
5,Light rain. Partly sunny.,31,23
6,Light rain. Partly sunny.,32,23
7,Rain. Low clouds.,31,23
8,Snow showers. Ice fog.,30,23
9,Snow showers. Ice fog.,30,23
10,Light rain. Partly sunny.,31,22
11,Light rain. Partly sunny.,31,23
12,Drizzle. Fog.,29,22
13,Passing clouds.,28,22
14,Passing clouds.,27,21
15,Drizzle. Fog.,27,21
16,Passing clouds.,26,22
17,Partly sunny.,27,21
18,Drizzle. Fog.,26,21
19,Fog.,27,20
20,Light rain. Partly sunny.,27,19
21,Light rain. Partly sunny.,28,20
22,Light rain. Partly sunny.,28,21
23,Light snow. Ice fog.,30,21
24,Light rain. Partly sunny.,31,23
25,Light rain. Partly sunny.,30,21
26,Light rain. Partly sunny.,28,19
27,Passing clouds.,27,21
28,Light rain. Partly sunny.,31,20
29,Light snow. Ice fog.,31,23
30,Passing clouds.,31,23
31,Passing clouds.,31,23
