hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Tue, 1 Mar",1 Mar,1456790400000,00:00,"Tuesday, 1 3 2016, 00:00 — 06:00",14,,27,26,1011,2,340,59
,,,1456812000000,06:00,"Tuesday, 1 3 2016, 06:00 — 12:00",1,Rain. Overcast.,35,25,1013,4,140,50
,,,1456833600000,12:00,"Tuesday, 1 3 2016, 12:00 — 18:00",2,Snow flurries. Overcast.,35,30,1011,16,280,53
,,,1456855200000,18:00,"Tuesday, 1 3 2016, 18:00 — 00:00",14,,30,29,1012,6,240,66
true,"Wed, 2 Mar",2 Mar,1456876800000,00:00,"Wednesday, 2 3 2016, 00:00 — 06:00",14,,29,27,1012,2,100,70
,,,1456898400000,06:00,"Wednesday, 2 3 2016, 06:00 — 12:00",1,Rain. Overcast.,34,27,1013,3,190,63
,,,1456920000000,12:00,"Wednesday, 2 3 2016, 12:00 — 18:00",2,Low clouds.,32,31,1012,17,280,57
,,,1456941600000,18:00,"Wednesday, 2 3 2016, 18:00 — 00:00",14,Snow flurries. Overcast.,31,29,1013,8,280,55
true,"Thu, 3 Mar",3 Mar,1456963200000,00:00,"Thursday, 3 3 2016, 00:00 — 06:00",14,,29,27,1014,4,90,66
,,,1456984800000,06:00,"Thursday, 3 3 2016, 06:00 — 12:00",1,Rain. Overcast.,34,28,1015,8,50,53
,,,1457006400000,12:00,"Thursday, 3 3 2016, 12:00 — 18:00",1,Rain. Overcast.,35,34,1013,15,340,40
,,,1457028000000,18:00,"Thursday, 3 3 2016, 18:00 — 00:00",14,Smoke.,34,29,1013,12,340,40
true,"Fri, 4 Mar",4 Mar,1457049600000,00:00,"Friday, 4 3 2016, 00:00 — 06:00",13,Thunderstorms. Fog.,30,28,1013,9,110,47
,,,1457071200000,06:00,"Friday, 4 3 2016, 06:00 — 12:00",6,Light rain. Passing clouds.,29,25,1015,14,70,52
,,,1457092800000,12:00,"Friday, 4 3 2016, 12:00 — 18:00",6,Blizzard. Ice fog.,32,26,1012,12,100,47
,,,1457114400000,18:00,"Friday, 4 3 2016, 18:00 — 00:00",14,Snow flurries. Overcast.,32,28,1012,4,170,54
true,"Sat, 5 Mar",5 Mar,1457136000000,00:00,"Saturday, 5 3 2016, 00:00 — 06:00",14,,29,26,1011,7,340,64
,,,1457157600000,06:00,"Saturday, 5 3 2016, 06:00 — 12:00",2,Smoke.,34,26,1013,7,0,46
,,,1457179200000,12:00,"Saturday, 5 3 2016, 12:00 — 18:00",2,Smoke.,34,31,1010,17,300,36
,,,1457200800000,18:00,"Saturday, 5 3 2016, 18:00 — 00:00",14,,31,27,1011,10,320,59
true,"Sun, 6 Mar",6 Mar,1457222400000,00:00,"Sunday, 6 3 2016, 00:00 — 06:00",14,,27,25,1011,6,0,70
,,,1457244000000,06:00,"Sunday, 6 3 2016, 06:00 — 12:00",3,,32,25,1013,9,20,63
,,,1457265600000,12:00,"Sunday, 6 3 2016, 12:00 — 18:00",2,Clear.,33,31,1011,17,300,39
,,,1457287200000,18:00,"Sunday, 6 3 2016, 18:00 — 00:00",14,Snow flurries. Overcast.,31,27,1011,9,300,48
true,"Mon, 7 Mar",7 Mar,1457308800000,00:00,"Monday, 7 3 2016, 00:00 — 06:00",14,,25,25,1011,6,100,69
,,,1457330400000,06:00,"Monday, 7 3 2016, 06:00 — 12:00",1,Thunderstorms. Fog.,31,25,1013,7,350,53
,,,1457352000000,12:00,"Monday, 7 3 2016, 12:00 — 18:00",2,Smoke.,33,31,1010,17,300,41
,,,1457373600000,18:00,"Monday, 7 3 2016, 18:00 — 00:00",14,Snow flurries. Overcast.,31,28,1010,7,320,46
true,"Tue, 8 Mar",8 Mar,1457395200000,00:00,"Tuesday, 8 3 2016, 00:00 — 06:00",14,,28,26,1010,7,330,61
,,,1457416800000,06:00,"Tuesday, 8 3 2016, 06:00 — 12:00",2,Smoke.,33,25,1011,12,340,49
,,,1457438400000,12:00,"Tuesday, 8 3 2016, 12:00 — 18:00",2,Smoke.,35,31,1009,17,310,32
,,,1457460000000,18:00,"Tuesday, 8 3 2016, 18:00 — 00:00",13,Passing clouds.,32,29,1009,8,320,36
true,"Wed, 9 Mar",9 Mar,1457481600000,00:00,"Wednesday, 9 3 2016, 00:00 — 06:00",14,Snow flurries. Overcast.,29,26,1010,10,330,51
,,,1457503200000,06:00,"Wednesday, 9 3 2016, 06:00 — 12:00",1,Scattered clouds.,33,26,1012,9,280,45
,,,1457524800000,12:00,"Wednesday, 9 3 2016, 12:00 — 18:00",2,Smoke.,34,31,1010,18,280,41
,,,1457546400000,18:00,"Wednesday, 9 3 2016, 18:00 — 00:00",14,Snow flurries. Overcast.,31,28,1011,10,330,45
true,"Thu, 10 Mar",10 Mar,1457568000000,00:00,"Thursday, 10 3 2016, 00:00 — 06:00",14,,28,25,1011,7,340,62
,,,1457589600000,06:00,"Thursday, 10 3 2016, 06:00 — 12:00",1,Rain. Overcast.,34,25,1013,6,320,45
,,,1457611200000,12:00,"Thursday, 10 3 2016, 12:00 — 18:00",1,Scattered clouds.,35,33,1011,16,300,38
,,,1457632800000,18:00,"Thursday, 10 3 2016, 18:00 — 00:00",13,Thunderstorms. Fog.,33,29,1011,9,320,46
true,"Fri, 11 Mar",11 Mar,1457654400000,00:00,"Friday, 11 3 2016, 00:00 — 06:00",14,,29,26,1011,8,340,64
,,,1457676000000,06:00,"Friday, 11 3 2016, 06:00 — 12:00",2,Sunny.,36,26,1013,10,350,58
,,,1457697600000,12:00,"Friday, 11 3 2016, 12:00 — 18:00",1,Rain. Overcast.,36,32,1010,14,280,39
,,,1457719200000,18:00,"Friday, 11 3 2016, 18:00 — 00:00",14,,32,28,1011,9,280,66
true,"Sat, 12 Mar",12 Mar,1457740800000,00:00,"Saturday, 12 3 2016, 00:00 — 06:00",14,Snow flurries. Overcast.,28,26,1011,4,260,74
,,,1457762400000,06:00,"Saturday, 12 3 2016, 06:00 — 12:00",1,Thunderstorms. Fog.,32,26,1012,7,340,57
,,,1457784000000,12:00,"Saturday, 12 3 2016, 12:00 — 18:00",2,Snow flurries. Overcast.,31,29,1011,19,280,51
,,,1457805600000,18:00,"Saturday, 12 3 2016, 18:00 — 00:00",14,,29,26,1011,11,280,58
true,"Sun, 13 Mar",13 Mar,1457827200000,00:00,"Sunday, 13 3 2016, 00:00 — 06:00",14,Drizzle. Partly sunny.,26,26,1012,7,300,81
,,,1457848800000,06:00,"Sunday, 13 3 2016, 06:00 — 12:00",2,Sunny.,30,26,1014,12,330,67
,,,1457870400000,12:00,"Sunday, 13 3 2016, 12:00 — 18:00",2,Snow flurries. Overcast.,31,27,1012,15,290,53
,,,1457892000000,18:00,"Sunday, 13 3 2016, 18:00 — 00:00",14,,28,26,1013,11,320,71
true,"Mon, 14 Mar",14 Mar,1457913600000,00:00,"Monday, 14 3 2016, 00:00 — 06:00",14,Mostly cloudy.,26,24,1013,6,80,77
,,,1457935200000,06:00,"Monday, 14 3 2016, 06:00 — 12:00",2,Sunny.,29,24,1015,7,80,65
