date,weather,tempHigh,tempLow
305,Drizzle. Mostly cloudy.,33,27
306,Drizzle. Mostly cloudy.,33,27
307,Drizzle. Mostly cloudy.,33,23
308,Overcast.,32,25
309,Drizzle. Mostly cloudy.,32,24
310,Drizzle. Mostly cloudy.,33,25
311,Drizzle. Mostly cloudy.,32,23
312,Drizzle. Mostly cloudy.,33,24
313,Sunny.,33,24
314,Sunny.,32,22
315,Sunny.,32,22
316,Drizzle. Mostly cloudy.,32,23
317,Sunny.,31,23
318,Drizzle. Mostly cloudy.,32,25
319,Drizzle. Mostly cloudy.,33,25
320,Drizzle. Mostly cloudy.,33,26
321,Drizzle. Mostly cloudy.,33,27
322,Clear.,32,26
323,Light fog.,32,24
324,Sunny.,32,22
325,Drizzle. Mostly cloudy.,32,21
326,Drizzle. Mostly cloudy.,33,21
327,Drizzle. Mostly cloudy.,33,23
328,Sprinkles. Fog.,32,25
329,Drizzle. Mostly cloudy.,32,23
330,Drizzle. Mostly cloudy.,33,22
331,Sunny.,32,23
332,Drizzle. Mostly cloudy.,34,24
333,Drizzle. Mostly cloudy.,33,23
334,Overcast.,33,22
