date,weather,tempHigh,tempLow
32,Partly sunny.,32,23
33,Snow. Fog.,32,23
34,,31,22
35,Snow. Fog.,30,21
36,Sunny.,28,21
37,Partly sunny.,26,21
38,,27,23
39,Drizzle. Low clouds.,28,20
40,Partly sunny.,29,22
41,Partly sunny.,29,24
42,Partly sunny.,27,23
43,Fog.,27,21
44,,26,21
45,Snow. Fog.,29,21
46,Snow. Fog.,31,22
47,Snow. Fog.,30,23
48,Heavy snow. Ice fog.,30,24
49,Drizzle. Low clouds.,30,23
50,Partly sunny.,29,25
51,Fog.,31,25
52,Fog.,31,26
53,Heavy rain. Overcast.,31,25
54,Heavy rain. Overcast.,30,23
55,Partly sunny.,28,23
56,Heavy snow. Ice fog.,30,23
57,Partly sunny.,30,24
58,More clouds than sun.,34,24
59,Heavy snow. Ice fog.,30,26
60,Heavy snow. Ice fog.,32,26
