date,weather,tempHigh,tempLow
244,Clear.,29,27
245,Sprinkles. Fog.,28,26
246,Sprinkles. Fog.,29,27
247,Clear.,29,28
248,Clear.,29,28
249,Clear.,29,28
250,Sprinkles. Fog.,27,26
251,Sprinkles. Fog.,29,27
252,Sprinkles. Fog.,29,24
253,Sprinkles. Fog.,29,27
254,Clear.,29,28
255,Clear.,30,28
256,Sprinkles. Fog.,29,28
257,Sprinkles. Fog.,30,29
258,Mostly cloudy.,27,26
259,Sunny.,28,27
260,Partly cloudy.,28,26
261,Scattered clouds.,26,25
262,Scattered clouds.,28,25
263,Partly cloudy.,25,24
264,Scattered clouds.,27,26
265,Scattered showers. Broken clouds.,28,27
266,Scattered showers. Broken clouds.,28,26
267,Sprinkles. Fog.,29,28
268,Sprinkles. Fog.,29,28
269,Clear.,29,28
270,Clear.,29,28
271,Clear.,29,28
272,Fog.,29,27
273,Fog.,29,27
