hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Thu, 1 Sep",1 Sep,1472731200000,12:00,"Thursday, 1 9 2016, 12:00 — 18:00",2,Partly sunny.,30,29,1006,20,240,74
,,,1472752800000,18:00,"Thursday, 1 9 2016, 18:00 — 00:00",14,Clear.,29,27,1007,15,220,83
true,"Fri, 2 Sep",2 Sep,1472774400000,00:00,"Friday, 2 9 2016, 00:00 — 06:00",15,Sprinkles. Fog.,28,26,1007,13,240,86
,,,1472796000000,06:00,"Friday, 2 9 2016, 06:00 — 12:00",6,Scattered clouds.,29,27,1008,15,240,82
,,,1472817600000,12:00,"Friday, 2 9 2016, 12:00 — 18:00",33,Sunny.,29,26,1007,16,240,84
,,,1472839200000,18:00,"Friday, 2 9 2016, 18:00 — 00:00",15,Sprinkles. Fog.,28,26,1007,10,170,84
true,"Sat, 3 Sep",3 Sep,1472860800000,00:00,"Saturday, 3 9 2016, 00:00 — 06:00",15,Sprinkles. Fog.,26,25,1007,6,160,93
,,,1472882400000,06:00,"Saturday, 3 9 2016, 06:00 — 12:00",33,Sunny.,28,25,1008,11,210,91
,,,1472904000000,12:00,"Saturday, 3 9 2016, 12:00 — 18:00",6,Scattered clouds.,30,28,1007,19,270,73
,,,1472925600000,18:00,"Saturday, 3 9 2016, 18:00 — 00:00",15,Sprinkles. Fog.,29,27,1008,14,270,76
true,"Sun, 4 Sep",4 Sep,1472947200000,00:00,"Sunday, 4 9 2016, 00:00 — 06:00",14,Clear.,28,26,1008,8,200,84
,,,1472968800000,06:00,"Sunday, 4 9 2016, 06:00 — 12:00",2,Partly sunny.,30,27,1010,19,250,78
,,,1472990400000,12:00,"Sunday, 4 9 2016, 12:00 — 18:00",2,Partly sunny.,30,29,1010,19,240,70
,,,1473012000000,18:00,"Sunday, 4 9 2016, 18:00 — 00:00",14,Clear.,29,28,1011,18,240,74
true,"Mon, 5 Sep",5 Sep,1473033600000,00:00,"Monday, 5 9 2016, 00:00 — 06:00",14,Clear.,28,27,1010,15,240,78
