hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Sat, 1 Oct",1 Oct,1475280000000,00:00,"Saturday, 1 10 2016, 00:00 — 06:00",14,Extremely cold.,27,27,1006,8,270,84
,,,1475301600000,06:00,"Saturday, 1 10 2016, 06:00 — 12:00",18,Light rain. Dense fog.,28,26,1008,11,320,84
,,,1475323200000,12:00,"Saturday, 1 10 2016, 12:00 — 18:00",18,Rain showers. Fog.,28,25,1007,15,320,86
,,,1475344800000,18:00,"Saturday, 1 10 2016, 18:00 — 00:00",15,Ice fog.,27,25,1008,8,320,89
true,"Sun, 2 Oct",2 Oct,1475366400000,00:00,"Sunday, 2 10 2016, 00:00 — 06:00",15,Ice fog.,25,25,1008,11,170,94
,,,1475388000000,06:00,"Sunday, 2 10 2016, 06:00 — 12:00",18,Rain showers. Fog.,26,24,1010,11,190,96
,,,1475409600000,12:00,"Sunday, 2 10 2016, 12:00 — 18:00",33,Light mixture of precip. Low clouds.,26,25,1008,11,170,96
,,,1475431200000,18:00,"Sunday, 2 10 2016, 18:00 — 00:00",22,Light rain. Light fog.,25,25,1008,10,110,94
true,"Mon, 3 Oct",3 Oct,1475452800000,00:00,"Monday, 3 10 2016, 00:00 — 06:00",17,Snow flurries. Overcast.,25,24,1007,9,110,92
,,,1475474400000,06:00,"Monday, 3 10 2016, 06:00 — 12:00",9,More clouds than sun.,26,25,1009,11,170,91
,,,1475496000000,12:00,"Monday, 3 10 2016, 12:00 — 18:00",18,Thunderstorms. Passing clouds.,27,26,1007,10,190,92
,,,1475517600000,18:00,"Monday, 3 10 2016, 18:00 — 00:00",15,Ice fog.,27,26,1007,10,190,94
true,"Tue, 4 Oct",4 Oct,1475539200000,00:00,"Tuesday, 4 10 2016, 00:00 — 06:00",15,Ice fog.,26,25,1006,11,160,92
,,,1475560800000,06:00,"Tuesday, 4 10 2016, 06:00 — 12:00",18,Thunderstorms. Passing clouds.,27,25,1008,15,170,95
,,,1475582400000,12:00,"Tuesday, 4 10 2016, 12:00 — 18:00",18,Light snow. Partly cloudy.,27,24,1007,11,220,94
,,,1475604000000,18:00,"Tuesday, 4 10 2016, 18:00 — 00:00",34,Drizzle. Low clouds.,26,25,1009,7,170,94
true,"Wed, 5 Oct",5 Oct,1475625600000,00:00,"Wednesday, 5 10 2016, 00:00 — 06:00",14,More clouds than sun.,26,25,1008,11,170,92
,,,1475647200000,06:00,"Wednesday, 5 10 2016, 06:00 — 12:00",9,More clouds than sun.,26,24,1010,10,210,93
,,,1475668800000,12:00,"Wednesday, 5 10 2016, 12:00 — 18:00",6,Partly cloudy.,29,26,1008,15,240,86
,,,1475690400000,18:00,"Wednesday, 5 10 2016, 18:00 — 00:00",14,More clouds than sun.,28,26,1009,9,230,86
true,"Thu, 6 Oct",6 Oct,1475712000000,00:00,"Thursday, 6 10 2016, 00:00 — 06:00",14,More clouds than sun.,26,25,1008,9,190,94
,,,1475733600000,06:00,"Thursday, 6 10 2016, 06:00 — 12:00",6,Partly cloudy.,29,25,1010,14,190,88
,,,1475755200000,12:00,"Thursday, 6 10 2016, 12:00 — 18:00",2,Clear.,31,27,1009,18,220,75
,,,1475776800000,18:00,"Thursday, 6 10 2016, 18:00 — 00:00",14,More clouds than sun.,27,26,1009,10,250,93
true,"Fri, 7 Oct",7 Oct,1475798400000,00:00,"Friday, 7 10 2016, 00:00 — 06:00",14,More clouds than sun.,26,26,1009,6,150,94
,,,1475820000000,06:00,"Friday, 7 10 2016, 06:00 — 12:00",6,Partly cloudy.,30,26,1010,11,190,84
,,,1475841600000,12:00,"Friday, 7 10 2016, 12:00 — 18:00",2,Clear.,30,28,1008,19,230,73
,,,1475863200000,18:00,"Friday, 7 10 2016, 18:00 — 00:00",14,More clouds than sun.,28,27,1009,12,170,87
true,"Sat, 8 Oct",8 Oct,1475884800000,00:00,"Saturday, 8 10 2016, 00:00 — 06:00",14,More clouds than sun.,27,26,1009,10,110,89
,,,1475906400000,06:00,"Saturday, 8 10 2016, 06:00 — 12:00",3,Mostly cloudy.,30,26,1010,13,170,80
,,,1475928000000,12:00,"Saturday, 8 10 2016, 12:00 — 18:00",2,Clear.,31,29,1008,17,230,71
,,,1475949600000,18:00,"Saturday, 8 10 2016, 18:00 — 00:00",14,Extremely cold.,29,27,1009,12,170,84
true,"Sun, 9 Oct",9 Oct,1475971200000,00:00,"Sunday, 9 10 2016, 00:00 — 06:00",14,Extremely cold.,27,26,1009,8,120,88
,,,1475992800000,06:00,"Sunday, 9 10 2016, 06:00 — 12:00",6,Partly cloudy.,30,26,1010,10,100,80
,,,1476014400000,12:00,"Sunday, 9 10 2016, 12:00 — 18:00",2,Clear.,31,28,1008,15,270,77
,,,1476036000000,18:00,"Sunday, 9 10 2016, 18:00 — 00:00",15,Ice fog.,28,28,1009,11,220,87
true,"Mon, 10 Oct",10 Oct,1476057600000,00:00,"Monday, 10 10 2016, 00:00 — 06:00",14,Extremely cold.,28,27,1008,5,200,88
,,,1476079200000,06:00,"Monday, 10 10 2016, 06:00 — 12:00",2,Clear.,30,27,1010,8,260,83
,,,1476100800000,12:00,"Monday, 10 10 2016, 12:00 — 18:00",2,Clear.,31,29,1008,19,270,74
,,,1476122400000,18:00,"Monday, 10 10 2016, 18:00 — 00:00",14,Extremely cold.,30,28,1009,10,310,81
true,"Tue, 11 Oct",11 Oct,1476144000000,00:00,"Tuesday, 11 10 2016, 00:00 — 06:00",14,Extremely cold.,28,27,1009,7,20,88
,,,1476165600000,06:00,"Tuesday, 11 10 2016, 06:00 — 12:00",9,More clouds than sun.,30,27,1011,8,40,81
,,,1476187200000,12:00,"Tuesday, 11 10 2016, 12:00 — 18:00",2,Extremely cold.,31,29,1009,17,300,71
,,,1476208800000,18:00,"Tuesday, 11 10 2016, 18:00 — 00:00",14,Mostly cloudy.,29,28,1010,11,320,77
true,"Wed, 12 Oct",12 Oct,1476230400000,00:00,"Wednesday, 12 10 2016, 00:00 — 06:00",14,Extremely cold.,28,27,1009,7,10,84
,,,1476252000000,06:00,"Wednesday, 12 10 2016, 06:00 — 12:00",2,Clear.,30,26,1011,9,10,76
,,,1476273600000,12:00,"Wednesday, 12 10 2016, 12:00 — 18:00",2,Extremely cold.,31,29,1009,16,300,66
,,,1476295200000,18:00,"Wednesday, 12 10 2016, 18:00 — 00:00",14,Extremely cold.,29,27,1010,12,340,78
true,"Thu, 13 Oct",13 Oct,1476316800000,00:00,"Thursday, 13 10 2016, 00:00 — 06:00",14,Extremely cold.,27,26,1009,9,0,81
,,,1476338400000,06:00,"Thursday, 13 10 2016, 06:00 — 12:00",3,Mostly cloudy.,32,26,1011,10,20,74
,,,1476360000000,12:00,"Thursday, 13 10 2016, 12:00 — 18:00",2,Extremely cold.,34,29,1009,15,320,57
,,,1476381600000,18:00,"Thursday, 13 10 2016, 18:00 — 00:00",14,Mostly cloudy.,29,27,1010,13,340,74
true,"Fri, 14 Oct",14 Oct,1476403200000,00:00,"Friday, 14 10 2016, 00:00 — 06:00",14,Extremely cold.,27,26,1009,10,350,83
,,,1476424800000,06:00,"Friday, 14 10 2016, 06:00 — 12:00",3,Mostly cloudy.,33,25,1011,8,40,67
,,,1476446400000,12:00,"Friday, 14 10 2016, 12:00 — 18:00",3,Mostly cloudy.,33,31,1009,14,300,58
,,,1476468000000,18:00,"Friday, 14 10 2016, 18:00 — 00:00",14,Extremely cold.,31,28,1011,10,340,69
true,"Sat, 15 Oct",15 Oct,1476489600000,00:00,"Saturday, 15 10 2016, 00:00 — 06:00",14,Extremely cold.,28,26,1010,8,340,74
,,,1476511200000,06:00,"Saturday, 15 10 2016, 06:00 — 12:00",14,Extremely cold.,33,26,1011,8,40,65
,,,1476532800000,12:00,"Saturday, 15 10 2016, 12:00 — 18:00",1,Partly cloudy.,33,31,1009,14,270,64
,,,1476554400000,18:00,"Saturday, 15 10 2016, 18:00 — 00:00",14,Extremely cold.,31,28,1010,9,340,75
true,"Sun, 16 Oct",16 Oct,1476576000000,00:00,"Sunday, 16 10 2016, 00:00 — 06:00",14,Extremely cold.,29,27,1011,9,310,81
,,,1476597600000,06:00,"Sunday, 16 10 2016, 06:00 — 12:00",2,Clear.,33,27,1012,9,30,73
,,,1476619200000,12:00,"Sunday, 16 10 2016, 12:00 — 18:00",6,Light rain. Mostly cloudy.,33,30,1010,16,280,66
,,,1476640800000,18:00,"Sunday, 16 10 2016, 18:00 — 00:00",14,Extremely cold.,30,29,1011,8,340,72
true,"Mon, 17 Oct",17 Oct,1476662400000,00:00,"Monday, 17 10 2016, 00:00 — 06:00",14,Extremely cold.,29,28,1010,7,340,74
,,,1476684000000,06:00,"Monday, 17 10 2016, 06:00 — 12:00",6,Partly cloudy.,32,28,1012,9,10,70
,,,1476705600000,12:00,"Monday, 17 10 2016, 12:00 — 18:00",6,Light rain. Mostly cloudy.,34,31,1009,14,300,58
,,,1476727200000,18:00,"Monday, 17 10 2016, 18:00 — 00:00",14,Extremely cold.,32,30,1010,8,340,61
true,"Tue, 18 Oct",18 Oct,1476748800000,00:00,"Tuesday, 18 10 2016, 00:00 — 06:00",14,Extremely cold.,30,29,1010,7,320,72
,,,1476770400000,06:00,"Tuesday, 18 10 2016, 06:00 — 12:00",2,Clear.,34,29,1011,10,70,60
,,,1476792000000,12:00,"Tuesday, 18 10 2016, 12:00 — 18:00",2,Clear.,36,32,1008,13,350,34
,,,1476813600000,18:00,"Tuesday, 18 10 2016, 18:00 — 00:00",14,Extremely cold.,32,30,1009,11,330,52
true,"Wed, 19 Oct",19 Oct,1476835200000,00:00,"Wednesday, 19 10 2016, 00:00 — 06:00",14,Extremely cold.,30,28,1009,6,40,51
,,,1476856800000,06:00,"Wednesday, 19 10 2016, 06:00 — 12:00",2,Light snow. Overcast.,35,28,1010,9,40,51
,,,1476878400000,12:00,"Wednesday, 19 10 2016, 12:00 — 18:00",2,Light snow. Overcast.,35,33,1008,13,10,41
,,,1476900000000,18:00,"Wednesday, 19 10 2016, 18:00 — 00:00",14,Extremely cold.,33,29,1009,9,40,48
true,"Thu, 20 Oct",20 Oct,1476921600000,00:00,"Thursday, 20 10 2016, 00:00 — 06:00",14,Extremely cold.,29,26,1008,2,60,59
,,,1476943200000,06:00,"Thursday, 20 10 2016, 06:00 — 12:00",2,Clear.,33,26,1010,9,340,54
,,,1476964800000,12:00,"Thursday, 20 10 2016, 12:00 — 18:00",2,Clear.,35,31,1007,14,320,39
,,,1476986400000,18:00,"Thursday, 20 10 2016, 18:00 — 00:00",14,Extremely cold.,31,28,1009,12,350,56
true,"Fri, 21 Oct",21 Oct,1477008000000,00:00,"Friday, 21 10 2016, 00:00 — 06:00",14,Extremely cold.,28,26,1008,5,330,58
,,,1477029600000,06:00,"Friday, 21 10 2016, 06:00 — 12:00",3,Mostly cloudy.,33,26,1010,8,30,55
,,,1477051200000,12:00,"Friday, 21 10 2016, 12:00 — 18:00",2,Extremely cold.,34,30,1008,15,310,53
,,,1477072800000,18:00,"Friday, 21 10 2016, 18:00 — 00:00",14,Mostly cloudy.,30,28,1010,9,340,65
true,"Sat, 22 Oct",22 Oct,1477094400000,00:00,"Saturday, 22 10 2016, 00:00 — 06:00",14,Mostly cloudy.,28,26,1010,7,330,75
,,,1477116000000,06:00,"Saturday, 22 10 2016, 06:00 — 12:00",3,Mostly cloudy.,33,26,1012,7,50,66
,,,1477137600000,12:00,"Saturday, 22 10 2016, 12:00 — 18:00",2,Extremely cold.,33,30,1010,14,300,57
,,,1477159200000,18:00,"Saturday, 22 10 2016, 18:00 — 00:00",14,Mostly cloudy.,30,28,1011,11,340,74
true,"Sun, 23 Oct",23 Oct,1477180800000,00:00,"Sunday, 23 10 2016, 00:00 — 06:00",14,Mostly cloudy.,28,26,1011,6,340,78
,,,1477202400000,06:00,"Sunday, 23 10 2016, 06:00 — 12:00",2,Clear.,34,26,1013,7,130,70
,,,1477224000000,12:00,"Sunday, 23 10 2016, 12:00 — 18:00",3,Mostly cloudy.,34,30,1010,17,270,64
,,,1477245600000,18:00,"Sunday, 23 10 2016, 18:00 — 00:00",14,Extremely cold.,29,29,1011,11,340,74
true,"Mon, 24 Oct",24 Oct,1477267200000,00:00,"Monday, 24 10 2016, 00:00 — 06:00",14,Mostly cloudy.,27,26,1010,7,290,84
,,,1477288800000,06:00,"Monday, 24 10 2016, 06:00 — 12:00",3,Mostly cloudy.,32,26,1012,7,50,68
,,,1477310400000,12:00,"Monday, 24 10 2016, 12:00 — 18:00",2,Extremely cold.,33,29,1010,16,290,58
,,,1477332000000,18:00,"Monday, 24 10 2016, 18:00 — 00:00",14,Mostly cloudy.,29,27,1011,11,330,74
true,"Tue, 25 Oct",25 Oct,1477353600000,00:00,"Tuesday, 25 10 2016, 00:00 — 06:00",14,Mostly cloudy.,27,26,1010,8,0,82
,,,1477375200000,06:00,"Tuesday, 25 10 2016, 06:00 — 12:00",3,Mostly cloudy.,31,26,1012,11,30,68
,,,1477396800000,12:00,"Tuesday, 25 10 2016, 12:00 — 18:00",2,Extremely cold.,31,30,1010,18,320,56
,,,1477418400000,18:00,"Tuesday, 25 10 2016, 18:00 — 00:00",14,Extremely cold.,30,26,1011,10,330,52
true,"Wed, 26 Oct",26 Oct,1477440000000,00:00,"Wednesday, 26 10 2016, 00:00 — 06:00",13,Scattered clouds.,26,24,1010,3,30,59
,,,1477461600000,06:00,"Wednesday, 26 10 2016, 06:00 — 12:00",2,Extremely cold.,31,23,1012,10,30,55
,,,1477483200000,12:00,"Wednesday, 26 10 2016, 12:00 — 18:00",1,Scattered clouds.,33,29,1010,15,280,53
,,,1477504800000,18:00,"Wednesday, 26 10 2016, 18:00 — 00:00",14,Extremely cold.,30,28,1011,8,340,64
true,"Thu, 27 Oct",27 Oct,1477526400000,00:00,"Thursday, 27 10 2016, 00:00 — 06:00",14,Mostly cloudy.,28,25,1011,5,100,62
,,,1477548000000,06:00,"Thursday, 27 10 2016, 06:00 — 12:00",1,Sprinkles. Fog.,34,26,1014,8,100,47
,,,1477569600000,12:00,"Thursday, 27 10 2016, 12:00 — 18:00",1,Partly cloudy.,35,31,1011,14,300,37
,,,1477591200000,18:00,"Thursday, 27 10 2016, 18:00 — 00:00",14,Mostly cloudy.,31,29,1012,11,340,56
true,"Fri, 28 Oct",28 Oct,1477612800000,00:00,"Friday, 28 10 2016, 00:00 — 06:00",13,Scattered clouds.,29,25,1012,8,40,51
,,,1477634400000,06:00,"Friday, 28 10 2016, 06:00 — 12:00",1,Sprinkles. Fog.,34,25,1013,8,120,45
,,,1477656000000,12:00,"Friday, 28 10 2016, 12:00 — 18:00",1,Partly cloudy.,35,31,1010,17,300,32
,,,1477677600000,18:00,"Friday, 28 10 2016, 18:00 — 00:00",14,Extremely cold.,31,28,1011,9,330,50
true,"Sat, 29 Oct",29 Oct,1477699200000,00:00,"Saturday, 29 10 2016, 00:00 — 06:00",14,Extremely cold.,28,25,1010,6,90,62
,,,1477720800000,06:00,"Saturday, 29 10 2016, 06:00 — 12:00",1,Partly cloudy.,34,25,1012,8,130,49
,,,1477742400000,12:00,"Saturday, 29 10 2016, 12:00 — 18:00",1,Scattered clouds.,35,30,1010,14,270,39
,,,1477764000000,18:00,"Saturday, 29 10 2016, 18:00 — 00:00",14,Extremely cold.,30,27,1011,9,30,53
true,"Sun, 30 Oct",30 Oct,1477785600000,00:00,"Sunday, 30 10 2016, 00:00 — 06:00",14,Scattered clouds.,27,24,1010,6,90,62
,,,1477807200000,06:00,"Sunday, 30 10 2016, 06:00 — 12:00",1,Partly cloudy.,33,24,1013,10,80,44
,,,1477828800000,12:00,"Sunday, 30 10 2016, 12:00 — 18:00",1,Partly cloudy.,34,31,1010,12,280,34
,,,1477850400000,18:00,"Sunday, 30 10 2016, 18:00 — 00:00",13,Scattered clouds.,31,28,1011,7,350,50
true,"Mon, 31 Oct",31 Oct,1477872000000,00:00,"Monday, 31 10 2016, 00:00 — 06:00",13,Scattered clouds.,29,26,1012,10,80,45
,,,1477893600000,06:00,"Monday, 31 10 2016, 06:00 — 12:00",1,Partly cloudy.,33,27,1014,15,70,47
,,,1477915200000,12:00,"Monday, 31 10 2016, 12:00 — 18:00",1,Partly cloudy.,35,33,1012,12,80,45
,,,1477936800000,18:00,"Monday, 31 10 2016, 18:00 — 00:00",13,Scattered clouds.,33,30,1013,7,0,57
