Started On,Status,Delay,Reach Time
"20th, Apr, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 22nd, Apr"
"21st, Apr, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 22nd, Apr"
"24th, Apr, 2016 at 05:15 PM",Late,25 Mins,"08:05 PM on 25th, Apr"
"26th, Apr, 2016 at 06:26 PM",Late,15 Mins,"07:55 PM on 27th, Apr"
"27th, Apr, 2016 at 05:15 PM",Late,40 Mins,"08:20 PM on 28th, Apr"
"28th, Apr, 2016 at 07:40 PM",Late,03 Hrs 29 Mins,"11:09 PM on 29th, Apr"
"01st, May, 2016 at 05:15 PM",Late,01 Hr 00 Min,"08:40 PM on 03rd, May"
"03rd, May, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 05th, May"
"04th, May, 2016 at 05:15 PM",Late,01 Hr 10 Mins,"08:50 PM on 05th, May"
"05th, May, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 06th, May"
"10th, May, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 11th, May"
"11th, May, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 12th, May"
"12th, May, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 13th, May"
"17th, May, 2016 at 05:15 PM",Late,25 Mins,"08:05 PM on 18th, May"
"18th, May, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 19th, May"
"19th, May, 2016 at 05:15 PM",Late,01 Hr 20 Mins,"09:00 PM on 20th, May"
"22nd, May, 2016 at 05:15 PM",Late,29 Mins,"08:09 PM on 23rd, May"
"24th, May, 2016 at 05:15 PM",Late,54 Mins,"08:34 PM on 26th, May"
"25th, May, 2016 at 04:34 AM",Late,14 Hrs 50 Mins,"10:30 AM on 27th, May"
"26th, May, 2016 at 05:15 PM",Late,02 Hrs 15 Mins,"09:55 PM on 27th, May"
"29th, May, 2016 at 05:15 PM",Late,57 Mins,"08:37 PM on 30th, May"
"31st, May, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 02nd, Jun"
"01st, Jun, 2016 at 05:15 PM",Late,01 Hr 10 Mins,"08:50 PM on 02nd, Jun"
"02nd, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 04th, Jun"
"05th, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 06th, Jun"
"07th, Jun, 2016 at 05:15 PM",Late,13 Mins,"07:53 PM on 08th, Jun"
"08th, Jun, 2016 at 05:15 PM",Late,50 Mins,"08:30 PM on 09th, Jun"
"09th, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 10th, Jun"
"12th, Jun, 2016 at 05:15 PM",On Time,-,"07:40 PM on 15th, Jun"
"14th, Jun, 2016 at 05:15 PM",Late,03 Hrs 35 Mins,"11:15 PM on 15th, Jun"
"15th, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 16th, Jun"
"21st, Jun, 2016 at 05:40 PM",Late,05 Mins,"07:45 PM on 22nd, Jun"
"22nd, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 24th, Jun"
"23rd, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 24th, Jun"
"26th, Jun, 2016 at 05:15 PM",Late,01 Hr 20 Mins,"09:00 PM on 27th, Jun"
"28th, Jun, 2016 at 05:15 PM",Before,-,"07:35 PM on 29th, Jun"
"29th, Jun, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 30th, Jun"
"30th, Jun, 2016 at 06:00 PM",Late,30 Mins,"08:10 PM on 08th, Jul"
"03rd, Jul, 2016 at 05:15 PM",On Time,-,"07:40 PM on 04th, Jul"
"05th, Jul, 2016 at 05:15 PM",Late,05 Mins,"07:45 PM on 06th, Jul"
"06th, Jul, 2016 at 05:15 PM",Late,12 Mins,"07:52 PM on 08th, Jul"
"07th, Jul, 2016 at 01:30 AM",Late,08 Hrs 31 Mins,"04:11 AM on 09th, Jul"
"10th, Jul, 2016 at 05:15 PM",Late,14 Mins,"07:54 PM on 12th, Jul"
"12th, Jul, 2016 at 05:23 PM",Late,15 Mins,"07:55 PM on 13th, Jul"
"13th, Jul, 2016 at 05:15 PM",On Time,-,"07:40 PM on 14th, Jul"
"14th, Jul, 2016 at 05:15 PM",Late,13 Mins,"07:53 PM on 15th, Jul"
"19th, Jul, 2016 at 05:40 PM",Late,08 Mins,"07:48 PM on 21st, Jul"
"20th, Jul, 2016 at 05:19 PM",On Time,-,"07:40 PM on 21st, Jul"
"21st, Jul, 2016 at 05:15 PM",Before,-,"07:35 PM on 22nd, Jul"
"24th, Jul, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 25th, Jul"
"26th, Jul, 2016 at 05:28 PM",Late,15 Mins,"07:55 PM on 27th, Jul"
"27th, Jul, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Jul"
"28th, Jul, 2016 at 07:05 PM",Late,01 Hr 47 Mins,"09:27 PM on 29th, Jul"
"31st, Jul, 2016 at 05:15 PM",On Time,-,"07:40 PM on 01st, Aug"
"02nd, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 03rd, Aug"
"07th, Aug, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 09th, Aug"
"09th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 11th, Aug"
"10th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 11th, Aug"
"11th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 14th, Aug"
"14th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 15th, Aug"
"16th, Aug, 2016 at 05:15 PM",Late,05 Mins,"07:45 PM on 17th, Aug"
"18th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 19th, Aug"
"21st, Aug, 2016 at 05:15 PM",Late,14 Mins,"07:54 PM on 22nd, Aug"
"23rd, Aug, 2016 at 05:15 PM",On Time,-,"07:40 PM on 24th, Aug"
"28th, Aug, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 29th, Aug"
"30th, Aug, 2016 at 08:00 PM",Late,02 Hrs 34 Mins,"10:14 PM on 31st, Aug"
"31st, Aug, 2016 at 05:15 PM",Late,14 Mins,"07:54 PM on 01st, Sep"
"01st, Sep, 2016 at 05:30 PM",Late,02 Hrs 04 Mins,"09:44 PM on 02nd, Sep"
"04th, Sep, 2016 at 05:28 PM",Late,15 Mins,"07:55 PM on 05th, Sep"
"06th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 07th, Sep"
"11th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 14th, Sep"
"13th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 14th, Sep"
"18th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 20th, Sep"
"20th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 21st, Sep"
"21st, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 23rd, Sep"
"22nd, Sep, 2016 at 05:15 PM",Late,01 Hr 05 Mins,"08:45 PM on 23rd, Sep"
"25th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 26th, Sep"
"27th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Sep"
"28th, Sep, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 29th, Sep"
"29th, Sep, 2016 at 05:15 PM",Late,54 Mins,"08:34 PM on 01st, Oct"
"02nd, Oct, 2016 at 05:15 PM",Late,14 Mins,"07:54 PM on 03rd, Oct"
"04th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 05th, Oct"
"05th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 06th, Oct"
"06th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 09th, Oct"
"09th, Oct, 2016 at 05:15 PM",Late,01 Hr 47 Mins,"09:27 PM on 10th, Oct"
"11th, Oct, 2016 at 05:15 PM",Late,05 Mins,"07:45 PM on 12th, Oct"
"12th, Oct, 2016 at 05:15 PM",Late,13 Mins,"07:53 PM on 13th, Oct"
"13th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 14th, Oct"
"16th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 17th, Oct"
"19th, Oct, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 20th, Oct"
"20th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 21st, Oct"
"23rd, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 24th, Oct"
"25th, Oct, 2016 at 05:15 PM",On Time,-,"07:40 PM on 26th, Oct"
"26th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 27th, Oct"
"27th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Oct"
"30th, Oct, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 31st, Oct"
"01st, Nov, 2016 at 05:15 PM",On Time,-,"07:40 PM on 02nd, Nov"
"02nd, Nov, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 03rd, Nov"
