date ,tempLo,tempHi
60,19,33
61,19,33
62,19,33
63,19,34
64,21,35
65,21,35
66,21,34
67,21,34
68,21,34
69,20,35
70,20,34
71,20,34
72,20,34
73,20,34
74,20,33
75,22,34
76,23,35
77,23,35
78,22,35
79,23,34
80,23,35
81,23,35
82,24,35
83,23,35
84,23,35
85,23,34
86,21,33
87,22,33
88,23,32
89,24,33
90,24,35
