date,tempLow,tempHi
60,11,24
61,11,24
62,11,24
63,11,24
64,15,26
65,16,27
66,15,29
67,13,30
68,13,29
69,13,29
70,13,29
71,12,28
72,12,27
73,14,28
74,13,29
75,15,30
76,16,30
77,17,33
78,18,33
79,17,33
80,18,34
81,19,34
82,19,34
83,19,34
84,19,33
85,18,33
86,16,29
87,17,30
88,16,31
89,17,31
90,18,32
