bday,st,delay,et,eday
01 1 2016  1060      0 10:55   02 1,,,,
02 1 2016  1060     15 11:10   03 1,,,,
03 1 2016  1060     11 11:06   04 1,,,,
04 1 2016  1060     15 11:10   05 1,,,,
05 1 2016  1060      0 10:50   06 1,,,,
06 1 2016  1060     14 11:09   07 1,,,,
07 1 2016  1060    145 01:20   08 1,,,,
08 1 2016  1060     15 11:10   09 1,,,,
09 1 2016  1060      0 10:55   09 1,,,,
10 1 2016  1060     14 11:09   11 1,,,,
11 1 2016  1060      0 10:45   12 1,,,,
12 1 2016  1060     15 11:10   13 1,,,,
13 1 2016  1060      0 10:55   14 1,,,,
14 1 2016  1060     37 11:32   15 1,,,,
15 1 2016  1060     05 11:00   16 1,,,,
16 1 2016  1060     15 11:10   17 1,,,,
17 1 2016  1060     45 11:40   18 1,,,,
18 1 2016  1060     32 11:27   19 1,,,,
19 1 2016  1060     14 11:09   20 1,,,,
20 1 2016  1060     85 12:20   21 1,,,,
21 1 2016  1060    125 01:00   22 1,,,,
22 1 2016  1060    135 01:10   23 1,,,,
23 1 2016  1060    100 12:35   24 1,,,,
24 1 2016  1060     40 11:35   25 1,,,,
25 1 2016  1060     88 12:23   26 1,,,,
26 1 2016  1060     15 11:10   27 1,,,,
27 1 2016  1068     10 11:05   28 1,,,,
28 1 2016  1060      0 10:47   29 1,,,,
29 1 2016  1060     15 11:10   30 1,,,,
30 1 2016  1060     05 11:00   31 1,,,,
31 1 2016  1060     10 11:05   01 2,,,,
01 2 2016  1060      0 10:50   02 2,,,,
02 2 2016  1060     10 11:05   03 2,,,,
03 2 2016  1060     14 11:09   04 2,,,,
04 2 2016  1060     15 11:10   05 2,,,,
05 2 2016  1060     05 11:00   06 2,,,,
06 2 2016  1060      0 10:55   07 2,,,,
07 2 2016  1060     41 11:36   08 2,,,,
08 2 2016  1060     10 11:05   09 2,,,,
09 2 2016  1060      0 10:55   10 2,,,,
10 2 2016  1060     10 11:05   11 2,,,,
11 2 2016  1060     10 11:05   12 2,,,,
12 2 2016  1060     15 11:10   13 2,,,,
13 2 2016  1060     15 11:10   14 2,,,,
14 2 2016  1060     15 11:10   15 2,,,,
15 2 2016  1060     15 11:10   16 2,,,,
16 2 2016  1060     15 11:10   17 2,,,,
17 2 2016  1060     15 11:10   18 2,,,,
18 2 2016  1060     10 11:05   19 2,,,,
19 2 2016  1060     10 11:05   20 2,,,,
20 2 2016  1060      0 10:55   21 2,,,,
21 2 2016  1060      0 10:55   21 2,,,,
22 2 2016  1060      0 10:55   21 2,,,,
23 2 2016  1185    100 12:35   24 2,,,,
24 2 2016  1185    205 02:20   25 2,,,,
25 2 2016  1060     24 11:19   26 2,,,,
26 2 2016  1115     40 11:35   27 2,,,,
27 2 2016  1060      0 10:50   28 2,,,,
28 2 2016  1060     15 11:10   29 2,,,,
29 2 2016  1060      0 10:50   01 3,,,,
01 3 2016  1072     10 11:05   02 3,,,,
02 3 2016  1060      0 10:54   03 3,,,,
03 3 2016  1060     14 11:09   04 3,,,,
04 3 2016  1060     14 11:09   05 3,,,,
05 3 2016  1060     14 11:09   06 3,,,,
06 3 2016  1060     15 11:10   07 3,,,,
07 3 2016  1060      0 10:50   08 3,,,,
08 3 2016  1060      0 10:48   09 3,,,,
09 3 2016  1060     05 11:00   10 3,,,,
10 3 2016  1060     15 11:10   11 3,,,,
11 3 2016  1060     10 11:05   12 3,,,,
