date,tempLow,tempHi
Wed 3 1 33  19  Sunshine and some clouds Hist. Avg. 26  12 ,,
Thu 3 2 33   19  Increasing cloudiness Hist. Avg. 26  12 ,,
Fri 3 3 33   19  Sunny Hist. Avg. 27  12 ,,
Sat 3 4 34   19  Mostly cloudy Hist. Avg. 27  12 ,,
Sun 3 5 35   21  Sunny Hist. Avg. 27  12 ,,
Mon 3 6 35   21  Sunshine Hist. Avg. 27  13 ,,
Tue 3 7 34   21  Sunshine Hist. Avg. 27  13 ,,
Wed 3 8 34   21  Partly sunny with a t-storm Hist. Avg. 28  13 ,,
Thu 3 9 34   21  Mostly sunny Hist. Avg. 28  13 ,,
Fri 3 10 35   20  Abundant sunshine Hist. Avg. 28  13 ,,
Sat 3 11 34   20  Brilliant sunshine Hist. Avg. 28  13 ,,
Sun 3 12 34  20  Sunny Hist. Avg. 28  13 ,,
Mon 3 13 34   20  Sunny Hist. Avg. 29  14 ,,
Tue 3 14 34   20  Sunny Hist. Avg. 29  14 ,,
Wed 3 15 33  20  Clouds and sunshine Hist. Avg. 29  14 ,,
Thu 3 16 34  22  Sunshine Hist. Avg. 29  14 ,,
Fri 3 17 35 23  Partial sunshine Hist. Avg. 29  14 ,,
Sat 3 18 35   23  Sunshine Hist. Avg. 30  14 ,,
Sun 3 19 35  22  Sunshine and very warm Hist. Avg. 30  15 ,,
Mon 3 20 34  23  Very warm with some sun Hist. Avg. 30  15 ,,
Tue 3 21 35 23  Mostly sunny and very warm Hist. Avg. 30  15 ,,
Wed 3 22 35 23  Mostly sunny and very warm Hist. Avg. 30  15 ,,
Thu 3 23 35 24  Mostly sunny Hist. Avg. 31  15 ,,
Fri 3 24 35  23  Partly sunny and very warm Hist. Avg. 31  16 ,,
Sat 3 25 35 23  Clouds and sunshine Hist. Avg. 31  16 ,,
Sun 3 26 34  23  Clouds and sun Hist. Avg. 31  16 ,,
Mon 3 27 33   21  Colder with a stray t-storm Hist. Avg. 31  16 ,,
Tue 3 28 33   22  Clouds and sun Hist. Avg. 32  16 ,,
Wed 3 29 32   23  Mostly sunny Hist. Avg. 32  17 ,,
Thu 3 30 33   24  Abundant sunshine Hist. Avg. 32  17 ,,
Fri 3 31 35   24  Mostly sunny Hist. Avg. 32  17 ,,
